$Water balance Flows: computed flow to complete water balance,
XXH,
JDAY,QWB
44454.04,0
44454.08,0
44454.12,0
44454.16,0
44454.2,0
44454.25,0
44454.29,-43.24
44454.33,0
44454.37,0
44454.41,-35.68
44454.45,-84.33
44454.5,0
44454.54,-69.92
44454.58,-39.42
44454.62,0
44454.66,-228.27
44454.7,0
44454.75,-79.76
44454.79,-135.15
44454.83,0
44454.87,20.592
44454.91,0
44454.95,0
44455,-46.38
44455.04,-51.7
44455.08,-17
44455.12,-10.72
44455.16,-16.38
44455.2,0
44455.25,0
44455.29,-5.42
44455.33,-205.36
44455.37,-96.4
44455.41,-40.23
44455.45,-175.54
44455.5,0
44455.54,0
44455.58,0
44455.62,55.056
44455.66,37.48
44455.7,0
44455.75,13.776
44455.79,88.688
44455.83,21.584
44455.87,0
44455.91,1.224
44455.95,74.704
44456,20.84
44456.04,5.376
44456.08,35.752
44456.12,26.272
44456.16,28.664
44456.2,13.128
44456.25,16.984
44456.29,35.776
44456.33,26.6
44456.37,53.176
44456.41,25.224
44456.45,6.176
44456.5,31.936
44456.54,39.184
44456.58,0
44456.62,0
44456.66,42.912
44456.7,24.792
44456.75,11.672
44456.79,28.896
44456.83,0
44456.87,5.176
44456.91,24.552
44456.95,25.72
44457,15.368
44457.04,18.608
44457.08,64
44457.12,20.864
44457.16,22.672
44457.2,18.064
44457.25,17.952
44457.29,25.616
44457.33,22.64
44457.37,0
44457.41,25.744
44457.45,0
44457.5,-123.56
44457.54,0
44457.58,4.32
44457.62,57.544
44457.66,13.672
44457.7,1.632
44457.75,6.56
44457.79,73.384
44457.83,0
44457.87,31.776
44457.91,7.912
44457.95,0.696
44458,61.816
44458.04,0
44458.08,1.112
44458.12,32.64
44458.16,106.392
44458.2,48.648
44458.25,34.52
44458.29,118.024
44458.33,138.392
44458.37,54.656
44458.41,85.456
44458.45,116.856
44458.5,142.384
44458.54,107.48
44458.58,137.848
44458.62,106.448
44458.66,118.848
44458.7,136.504
44458.75,63.704
44458.79,111.48
44458.83,100.728
44458.87,77.824
44458.91,54.384
44458.95,99.544
44459,45.376
44459.04,90.856
44459.08,55.96
44459.12,18.168
44459.16,61.96
44459.2,93.624
44459.25,36.368
44459.29,68.344
44459.33,61.024
44459.37,15.672
44459.41,31.2
44459.45,80.048
44459.5,0
44459.54,24.36
44459.58,38.744
44459.62,32.76
44459.66,0
44459.7,-80.81
44459.75,0
44459.79,0
44459.83,0
44459.87,0
44459.91,0
44459.95,0
44460,35.752
44460.04,0
44460.08,34.64
44460.12,72.704
44460.16,167.008
44460.2,0
44460.25,0
44460.29,76.088
44460.33,0
44460.37,54.656
44460.41,32.856
44460.45,18.504
44460.5,0
44460.54,49.904
44460.58,21.632
44460.62,60.816
44460.66,39.68
44460.7,0
44460.75,29.592
44460.79,49.728
44460.83,30.32
44460.87,0.544
44460.91,38.696
44460.95,31.224
44461,21.656
