$Water balance Flows: computed flow to complete water balance,
JYH,
JDAY,QWB
44458.45,18.568
44458.5,22.624
44458.54,17.08
44458.58,21.904
44458.62,16.912
44458.66,18.88
44458.7,21.688
44458.75,10.12
44458.79,17.712
44458.83,16.008
44458.87,12.368
44458.91,8.64
44458.95,15.816
44459,7.208
44459.04,14.432
44459.08,8.888
44459.12,2.888
44459.16,9.848
44459.2,14.872
44459.25,5.776
44459.29,10.856
44459.33,9.696
44459.37,2.488
44459.41,4.96
44459.45,12.72
44459.5,0
44459.54,3.872
44459.58,6.16
44459.62,5.208
44459.66,0
44459.7,-12.84
44459.75,0
44459.79,0
44459.83,0
44459.87,0
44459.91,0
44459.95,0
44460,5.68
44460.04,0
44460.08,5.504
44460.12,11.552
44460.16,26.536
44460.2,0
44460.25,0
44460.29,12.088
44460.33,0
44460.37,8.68
44460.41,5.216
44460.45,2.944
44460.5,0
44460.54,7.928
44460.58,3.44
44460.62,9.664
44460.66,6.304
44460.7,0
44460.75,4.704
44460.79,7.904
44460.83,4.816
44460.87,0.088
44460.91,6.152
44460.95,4.96
44461,3.44
44461.04,0.336
44461.08,6.584
44461.12,1.744
44461.16,14.608
44461.2,0
44461.25,11.816
44461.29,6.088
44461.33,7.04
44461.37,0
44461.41,-53.83
44461.45,0
44461.5,0
44461.54,-32.6
44461.58,-35.59
44461.62,-51.11
44461.66,0
44461.7,0
44461.75,0
44461.79,-34.48
44461.83,0
44461.87,-1.39
44461.91,-33.05
44461.95,0
44462,-21.86
44462.04,0
44462.08,40.104
44462.12,0
44462.16,0
44462.2,0
44462.25,0
44462.29,-27.73
44462.33,-25.97
44462.37,0
44462.41,0
44462.45,0
44462.5,-7.13
44462.54,0
44462.58,22.256
44462.62,0
44462.66,0
44462.7,0.624
44462.75,3.888
44462.79,0
44462.83,0.216
44462.87,13.472
44462.91,0
44462.95,6.656
44463,2.496
44463.04,8.632
44463.08,0
44463.12,1.656
44463.16,5.032
44463.2,13.184
44463.25,0.584
44463.29,1.952
44463.33,6.856
44463.37,6.336
44463.41,2.336
44463.45,0
44463.5,2.352
44463.54,12.728
44463.58,1.744
44463.62,3.272
44463.66,6.6
44463.7,0
44463.75,-28.62
44463.79,0
44463.83,3.136
44463.87,0
44463.91,0
44463.95,0
44464,-0.24
44464.04,0
44464.08,0.936
44464.12,0
44464.16,-5.79
44464.2,0
44464.25,0
44464.29,-5.7
44464.33,0
44464.37,0
44464.41,0
44464.45,0
44464.5,-3.23
44464.54,0
44464.58,0
44464.62,0
44464.66,-3.9
44464.7,0
44464.75,-0.42
44464.79,0
44464.83,0
44464.87,0
44464.91,4.368
44464.95,10.304
44465,6.328
44465.04,0
44465.08,14.728
44465.12,2.496
44465.16,10.08
44465.2,8.696
44465.25,0.408
44465.29,2.592
44465.33,9.432
44465.37,1.696
44465.41,6.256
44465.45,0
44465.5,0
44465.54,0
44465.58,-2.18
44465.62,-2.57
44465.66,0
44465.7,0
44465.75,-6.26
44465.79,-10.83
44465.83,0
44465.87,0.944
44465.91,1.032
44465.95,0
44466,-0.83
44466.04,-0.68
44466.08,0
44466.12,0
44466.16,-38.61
44466.2,0
44466.25,21.72
44466.29,0
44466.33,0
44466.37,0
44466.41,0
44466.45,0
44466.5,0
44466.54,0
44466.58,0
44466.62,0
44466.66,-2.89
44466.7,0
44466.75,0
44466.79,0
44466.83,0
44466.87,0.208
44466.91,0
44466.95,0
44467,8.856
44467.04,8.432
44467.08,13.76
44467.12,0
44467.16,1.072
44467.2,0
44467.25,9.584
44467.29,0
44467.33,-2.34
44467.37,0
44467.41,0
44467.45,0
44467.5,0.4
44467.54,2.184
44467.58,11.44
44467.62,0
44467.66,0
44467.7,0
44467.75,10.12
44467.79,0
44467.83,0.28
44467.87,0
44467.91,7
44467.95,0
44468,7.544
44468.04,10.768
44468.08,6.352
44468.12,0.712
44468.16,10.72
44468.2,0
44468.25,7.28
44468.29,11.544
44468.33,0
44468.37,0
44468.41,0
44468.45,4.224
44468.5,0
44468.54,0
44468.58,0
44468.62,5.648
44468.66,0
44468.7,0
44468.75,6.544
44468.79,7.464
44468.83,0
44468.87,5.784
44468.91,3.288
44468.95,9
44469,1.416
44469.04,9.8
44469.08,5.328
44469.12,6.944
44469.16,11.064
44469.2,0
44469.25,7.576
44469.29,9.312
44469.33,0.52
44469.37,1.072
44469.41,6.36
44469.45,2.784
44469.5,2.088
44469.54,0.96
44469.58,7.336
44469.62,2.712
44469.66,4.744
44469.7,1.24
44469.75,1.784
44469.79,4.2
44469.83,2.4
44469.87,7.08
44469.91,3.184
44469.95,0
44470,11.304
44470.04,18.64
44470.08,11.336
44470.12,17.944
44470.16,12.68
44470.2,0
44470.25,-25.62
44470.29,0
44470.33,0
44470.37,0
44470.41,-8.6
44470.45,0
44470.5,0
44470.54,0
44470.58,-33.38
44470.62,0
44470.66,0
44470.7,0
44470.75,-15.78
44470.79,0
44470.83,30.992
44470.87,0
44470.91,0
44470.95,13.464
44471,11.952
44471.04,17.84
44471.08,25.704
44471.12,0
44471.16,0
44471.2,0.048
44471.25,5.672
44471.29,0
44471.33,-7.46
44471.37,-0.64
44471.41,-16.4
44471.45,0
44471.5,-3.41
44471.54,0
