$Water balance Flows: computed flow to complete water balance,
MGH,
JDAY,QWB
44464.29,-38.87
44464.33,0
44464.37,0
44464.41,0
44464.45,0
44464.5,-22.03
44464.54,0
44464.58,0
44464.62,0
44464.66,-26.59
44464.7,0
44464.75,-2.85
44464.79,0
44464.83,0
44464.87,0
44464.91,29.8
44464.95,70.264
44465,43.144
44465.04,0
44465.08,100.488
44465.12,17.016
44465.16,68.776
44465.2,59.336
44465.25,2.776
44465.29,17.704
44465.33,64.352
44465.37,11.56
44465.41,42.696
44465.45,0
44465.5,0
44465.54,0
44465.58,-14.84
44465.62,-17.51
44465.66,0
44465.7,0
44465.75,-42.67
44465.79,-73.89
44465.83,0
44465.87,6.448
44465.91,7.056
44465.95,0
44466,-5.64
44466.04,-4.62
44466.08,0
44466.12,0
44466.16,-263.34
44466.2,0
44466.25,148.176
44466.29,0
44466.33,0
44466.37,0
44466.41,0
44466.45,0
44466.5,0
44466.54,0
44466.58,0
44466.62,0
44466.66,-19.71
44466.7,0
44466.75,0
44466.79,0
44466.83,0
44466.87,1.44
44466.91,0
44466.95,0
44467,60.408
44467.04,57.544
44467.08,93.88
44467.12,0
44467.16,7.288
44467.2,0
44467.25,65.392
44467.29,0
44467.33,-15.93
44467.37,0
44467.41,0
44467.45,0
44467.5,2.728
44467.54,14.904
44467.58,78.048
44467.62,0
44467.66,0
44467.7,0
44467.75,69.04
44467.79,0
44467.83,1.936
44467.87,0
44467.91,47.768
44467.95,0
44468,51.464
44468.04,73.456
44468.08,43.336
44468.12,4.84
44468.16,73.12
44468.2,0
44468.25,49.672
44468.29,78.72
44468.33,0
44468.37,0
44468.41,0
44468.45,28.84
44468.5,0
44468.54,0
44468.58,0
44468.62,38.552
44468.66,0
44468.7,0
44468.75,44.648
44468.79,50.904
44468.83,0
44468.87,39.448
44468.91,22.44
44468.95,61.384
44469,9.656
44469.04,66.872
44469.08,36.36
44469.12,47.368
44469.16,75.472
44469.2,0
44469.25,51.696
44469.29,63.536
44469.33,3.56
44469.37,7.312
44469.41,43.368
44469.45,18.968
44469.5,14.224
44469.54,6.552
44469.58,50.064
44469.62,18.488
44469.66,32.36
44469.7,8.432
44469.75,12.176
44469.79,28.632
44469.83,16.392
44469.87,48.288
44469.91,21.712
44469.95,0
44470,77.088
44470.04,127.136
44470.08,77.32
44470.12,122.4
