$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44204.96,-8.1,-8.7,0.93,0.23,9.88,545.08
44205,-8.64,-9.33,0.76,0.02,9.89,544.95
44205.04,-8.72,-9.6,0.73,0.15,9.8,545.01
44205.08,-8.74,-9.73,0.67,3,9.91,544.84
44205.12,-8.13,-9.49,0.65,3.03,9.73,544.61
44205.17,-8.21,-9.48,0.65,3.14,9.77,544.38
44205.21,-7.89,-9.14,0.61,0.13,9.87,543.99
44205.25,-8.53,-9.41,0.15,3.13,9.34,543.37
44205.29,-9.15,-9.94,1.05,0.44,9.91,543.79
44205.33,-8.88,-9.77,0.94,0.53,9.92,544.02
44205.38,-8.39,-9.1,0.28,0.39,9.82,544.45
44205.42,-6.65,-8.13,0.21,1.92,9.15,544.6
44205.46,-6.09,-7.81,0.58,1.79,8.68,544.65
44205.5,-5.98,-7.03,0.78,1.65,9.22,544.62
44205.54,-4.38,-6.05,0.68,1.78,8.69,543.73
44205.58,-4.26,-5.72,0.86,1.79,7.64,543.1
44205.62,-4.04,-5.29,0.99,1.84,7.05,542.44
44205.67,-3.13,-4.35,1.01,1.95,6.27,542.2
44205.71,-2.74,-3.91,0.95,2.31,8.08,542.45
44205.75,-5.47,-5.58,1.08,3.12,8.71,542.27
44205.79,-5.78,-6.04,1.84,0.44,8.77,543.11
44205.83,-6.49,-6.99,1.63,0.47,9.16,543.54
44205.88,-7.21,-7.74,1.74,0.6,9.84,544.32
44205.92,-7.8,-8.59,1.5,0.48,9.67,544.64
44205.96,-9.22,-10.13,1.53,0.24,9.91,544.8
44206,-9.65,-10.98,1.44,0.15,9.87,544.6
44206.04,-9.75,-11.28,1.36,0.03,9.7,544.75
44206.08,-10.02,-11.65,1.21,0.02,9.78,544.51
44206.12,-9.85,-11.39,1.06,0.08,9.72,544.32
44206.17,-10.7,-12.35,0.86,0.13,9.69,544.09
44206.21,-10.66,-12.34,0.71,0.1,9.7,543.55
44206.25,-10.81,-12.49,0.36,2.32,8.9,542.84
44206.29,-10.56,-12.39,0.86,0.22,9.73,542.99
44206.33,-10.39,-12.19,0.87,0.3,9.98,543.31
44206.38,-9.9,-11.52,0.73,0.49,9.92,543.77
44206.42,-8.72,-11.27,0.94,0.47,10,544.16
44206.46,-9.4,-11.16,1.01,0.29,9.94,544.62
44206.5,-9.76,-10.88,1.28,0.18,9.91,544.4
44206.54,-8.5,-9.84,1.46,0.29,9.84,543.74
44206.58,-9,-10.17,1.53,0.24,9.88,543.36
44206.62,-9.45,-10.62,1.56,0.24,9.85,542.84
44206.67,-9.38,-10.69,1.66,0.27,9.61,543.02
44206.71,-9.61,-11.1,1.69,0.36,9.96,543.35
44206.75,-10.8,-11.49,1.78,0.52,9.97,543.88
44206.79,-10.52,-11.44,1.89,0.53,9.99,544.35
44206.83,-10.56,-11.61,1.94,0.73,10,545.23
44206.88,-10.47,-11.63,1.9,0.73,10,545.97
44206.92,-10.51,-11.79,1.82,0.7,10,546.58
44206.96,-11.72,-13.26,1.86,0.76,10,547.32
44207,-11.55,-13.25,1.92,0.85,9.96,548.06
44207.04,-11.64,-13.4,1.98,0.91,10,548.5
44207.08,-11.47,-13.17,1.81,0.91,9.84,548.65
44207.12,-11.32,-12.99,1.73,0.93,9.88,548.81
44207.17,-12.12,-13.78,1.5,0.98,9.84,548.82
44207.21,-12.2,-13.69,1.32,1.03,9.88,548.74
44207.25,-13.23,-14.31,1.04,1.2,9.68,549.1
44207.29,-13.06,-14.11,0.83,1.04,9.48,548.74
44207.33,-12.95,-14.24,0.31,1.58,8.87,549.37
44207.38,-13.72,-14.74,0.17,1.62,7.9,549.95
44207.42,-11.55,-14.02,0.2,1.43,7.81,550.11
44207.46,-11.24,-13.24,0.37,0.6,5.28,550.43
44207.5,-10.88,-12.73,0.67,3.06,3.71,550.34
44207.54,-9.1,-11.88,0.84,2.72,4.27,549.48
44207.58,-8.37,-11.19,1,2.53,4.73,548.87
44207.62,-8.2,-10.91,1.04,2.63,4.88,548.14
