$Water balance Flows: computed flow to complete water balance,
MGH,
JDAY,QWB
44452.7,42.44
44452.75,37.98
44452.79,0
44452.83,0
44452.87,0
44452.91,0
44452.95,0
44453,149.09
44453.04,17.16
44453.08,0
44453.12,230.78
44453.16,29
44453.2,227.03
44453.25,0
44453.29,0
44453.33,0
44453.37,224.79
44453.41,470.02
44453.45,0
44453.5,0
44453.54,0
44453.58,0
44453.62,0
44453.66,-107.72
44453.7,0
44453.75,0
44453.79,0
44453.83,0
44453.87,0
44453.91,0
44453.95,0
44454,0
44454.04,0
44454.08,0
44454.12,0
44454.16,0
44454.2,0
44454.25,0
44454.29,-46.86
44454.33,0
44454.37,0
44454.41,-38.67
44454.45,-91.4
44454.5,0
44454.54,-75.79
44454.58,-42.72
44454.62,0
44454.66,-247.4
44454.7,0
44454.75,-86.45
44454.79,-146.48
44454.83,0
44454.87,27.9
44454.91,0
44454.95,0
44455,-50.27
44455.04,-56.03
44455.08,-18.42
44455.12,-11.62
44455.16,-17.75
44455.2,0
44455.25,0
44455.29,-5.88
44455.33,-222.58
44455.37,-104.48
44455.41,-43.6
44455.45,-190.26
44455.5,0
44455.54,0
44455.58,0
44455.62,74.59
44455.66,50.78
44455.7,0
44455.75,18.67
44455.79,120.15
44455.83,29.24
44455.87,0
44455.91,1.66
44455.95,101.2
44456,28.23
44456.04,7.28
44456.08,48.43
44456.12,35.59
44456.16,38.84
44456.2,17.79
44456.25,23
44456.29,48.47
44456.33,36.03
44456.37,72.04
44456.41,34.18
44456.45,8.37
44456.5,43.26
44456.54,53.09
44456.58,0
44456.62,0
44456.66,58.13
44456.7,33.58
44456.75,15.81
44456.79,39.15
44456.83,0
44456.87,7.02
44456.91,33.27
44456.95,34.84
44457,20.82
44457.04,25.21
44457.08,86.71
44457.12,28.27
44457.16,30.71
44457.2,24.48
44457.25,24.32
44457.29,34.7
44457.33,30.68
44457.37,0
44457.41,34.87
44457.45,0
44457.5,-133.92
44457.54,0
44457.58,5.85
44457.62,77.96
44457.66,18.53
44457.7,2.21
44457.75,8.89
44457.79,99.42
44457.83,0
44457.87,43.04
44457.91,10.72
44457.95,0.95
44458,83.75
44458.04,0
44458.08,1.51
44458.12,44.22
44458.16,144.14
44458.2,65.91
44458.25,46.76
44458.29,159.9
44458.33,187.49
44458.37,74.05
44458.41,115.77
44458.45,158.32
44458.5,192.9
44458.54,145.61
44458.58,186.76
44458.62,144.21
44458.66,161.02
44458.7,184.93
44458.75,86.31
44458.79,151.04
44458.83,136.47
44458.87,105.44
44458.91,73.68
44458.95,134.86
44459,61.47
44459.04,123.09
44459.08,75.82
44459.12,24.61
44459.16,83.94
44459.2,126.84
44459.25,49.27
44459.29,92.59
44459.33,82.68
44459.37,21.23
44459.41,42.27
44459.45,108.45
44459.5,0
44459.54,33
44459.58,52.49
44459.62,44.38
44459.66,0
44459.7,-87.58
44459.75,0
44459.79,0
44459.83,0
44459.87,0
44459.91,0
44459.95,0
44460,48.43
44460.04,0
44460.08,46.93
44460.12,98.5
44460.16,226.26
44460.2,0
44460.25,0
44460.29,103.08
44460.33,0
44460.37,74.05
44460.41,44.51
44460.45,25.07
44460.5,0
44460.54,67.61
44460.58,29.31
44460.62,82.39
44460.66,53.75
44460.7,0
44460.75,40.09
44460.79,67.38
44460.83,41.08
44460.87,0.73
44460.91,52.42
44460.95,42.3
44461,29.33
44461.04,2.87
44461.08,56.14
44461.12,14.9
44461.16,124.53
44461.2,0
44461.25,100.73
44461.29,51.93
44461.33,60.02
44461.37,0
44461.41,-367.19
44461.45,0
44461.5,0
44461.54,-222.4
44461.58,-242.75
44461.62,-348.66
44461.66,0
44461.7,0
44461.75,0
44461.79,-235.18
44461.83,0
44461.87,-9.47
44461.91,-225.45
44461.95,0
44462,-149.12
44462.04,0
44462.08,341.92
44462.12,0
44462.16,0
44462.2,0
44462.25,0
44462.29,-189.19
44462.33,-177.13
44462.37,0
44462.41,0
44462.45,0
