$Water balance Flows: computed flow to complete water balance,
XXH,
JDAY,QWB
44452.12,39.83
44452.16,31.02
44452.2,36.54
44452.25,0
44452.29,66.31
44452.33,38
44452.37,83.89
44452.41,88.5
44452.45,0
44452.5,93.81
44452.54,38.87
44452.58,46.69
44452.62,39.57
44452.66,42.62
44452.7,39.16
44452.75,35.04
44452.79,0
44452.83,0
44452.87,0
44452.91,0
44452.95,0
44453,137.56
44453.04,15.83
44453.08,0
44453.12,212.93
44453.16,26.75
44453.2,209.47
44453.25,0
44453.29,0
44453.33,0
44453.37,207.4
44453.41,433.67
44453.45,0
44453.5,0
44453.54,0
44453.58,0
44453.62,0
44453.66,-99.39
44453.7,0
44453.75,0
44453.79,0
44453.83,0
44453.87,0
44453.91,0
44453.95,0
44454,0
44454.04,0
44454.08,0
44454.12,0
44454.16,0
44454.2,0
44454.25,0
44454.29,-43.24
44454.33,0
44454.37,0
44454.41,-35.68
44454.45,-84.33
44454.5,0
44454.54,-69.92
44454.58,-39.42
44454.62,0
44454.66,-228.27
44454.7,0
44454.75,-79.76
44454.79,-135.15
44454.83,0
44454.87,25.74
44454.91,0
44454.95,0
44455,-46.38
44455.04,-51.7
44455.08,-17
44455.12,-10.72
44455.16,-16.38
44455.2,0
44455.25,0
44455.29,-5.42
44455.33,-205.36
44455.37,-96.4
44455.41,-40.23
44455.45,-175.54
44455.5,0
44455.54,0
44455.58,0
44455.62,68.82
44455.66,46.85
44455.7,0
44455.75,17.22
44455.79,110.86
44455.83,26.98
44455.87,0
44455.91,1.53
44455.95,93.38
44456,26.05
44456.04,6.72
44456.08,44.69
44456.12,32.84
44456.16,35.83
44456.2,16.41
44456.25,21.23
44456.29,44.72
44456.33,33.25
44456.37,66.47
44456.41,31.53
44456.45,7.72
44456.5,39.92
44456.54,48.98
44456.58,0
44456.62,0
44456.66,53.64
44456.7,30.99
44456.75,14.59
44456.79,36.12
44456.83,0
44456.87,6.47
44456.91,30.69
44456.95,32.15
44457,19.21
44457.04,23.26
44457.08,80
44457.12,26.08
44457.16,28.34
44457.2,22.58
44457.25,22.44
44457.29,32.02
44457.33,28.3
44457.37,0
44457.41,32.18
44457.45,0
44457.5,-123.56
44457.54,0
44457.58,5.4
44457.62,71.93
44457.66,17.09
44457.7,2.04
44457.75,8.2
44457.79,91.73
44457.83,0
44457.87,39.72
44457.91,9.89
44457.95,0.87
44458,77.27
44458.04,0
44458.08,1.39
44458.12,40.8
44458.16,132.99
44458.2,60.81
44458.25,43.15
44458.29,147.53
44458.33,172.99
44458.37,68.32
44458.41,106.82
44458.45,146.07
44458.5,177.98
44458.54,134.35
44458.58,172.31
44458.62,133.06
44458.66,148.56
44458.7,170.63
44458.75,79.63
44458.79,139.35
44458.83,125.91
44458.87,97.28
44458.91,67.98
44458.95,124.43
44459,56.72
44459.04,113.57
44459.08,69.95
44459.12,22.71
44459.16,77.45
44459.2,117.03
44459.25,45.46
44459.29,85.43
44459.33,76.28
44459.37,19.59
44459.41,39
44459.45,100.06
44459.5,0
44459.54,30.45
44459.58,48.43
44459.62,40.95
44459.66,0
44459.7,-80.81
44459.75,0
44459.79,0
44459.83,0
44459.87,0
44459.91,0
44459.95,0
44460,44.69
44460.04,0
44460.08,43.3
44460.12,90.88
44460.16,208.76
44460.2,0
44460.25,0
44460.29,95.11
44460.33,0
44460.37,68.32
44460.41,41.07
44460.45,23.13
44460.5,0
44460.54,62.38
44460.58,27.04
44460.62,76.02
44460.66,49.6
44460.7,0
44460.75,36.99
44460.79,62.16
44460.83,37.9
44460.87,0.68
44460.91,48.37
44460.95,39.03
44461,27.07
44461.04,2.65
44461.08,51.79
44461.12,13.75
44461.16,114.9
44461.2,0
44461.25,92.94
44461.29,47.92
44461.33,55.38
44461.37,0
44461.41,-338.79
44461.45,0
44461.5,0
44461.54,-205.2
44461.58,-223.97
44461.62,-321.69
44461.66,0
44461.7,0
44461.75,0
44461.79,-216.99
44461.83,0
44461.87,-8.74
44461.91,-208.01
44461.95,0
44462,-137.58
44462.04,0
44462.08,315.48
44462.12,0
44462.16,0
44462.2,0
44462.25,0
44462.29,-174.55
44462.33,-163.43
44462.37,0
44462.41,0
44462.45,0
44462.5,-44.9
44462.54,0
44462.58,175.09
44462.62,0
