JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 40580.920,    92.691,    23.513,     4.494,     0.149,  5188.174,   680.868,     0.000,    18.507,  1865.885,     1.000,     4.494,   625.284,   642.328,   269.237,   327.422,    -7.879,   -33.261,     0.000,
 40580.962,    92.923,    23.509,     4.507,     0.156,  4838.926,    79.284,     0.000,    18.503,  1865.885,     1.000,     4.499,   126.779,    74.796,   288.941,   327.481,   -12.116,   -78.406,     0.000,
 40581.003,    99.005,    23.512,     4.514,     0.155,  5061.580,     0.000,     0.000,    18.506,  1865.885,     1.000,     4.509,    22.064,     0.000,   302.728,   327.513,    -8.550,   -38.299,     0.000,
 40581.045,    90.108,    23.519,     4.521,     0.161,  5230.557,     0.000,     0.000,    18.513,  1865.885,     1.000,     4.520,    -1.211,     0.000,   285.125,   327.546,    -4.266,   -36.944,     0.000,
 40581.087,    85.652,    23.522,     4.530,     0.123,  5131.365,   129.561,     0.000,    18.516,  1865.885,     1.000,     4.530,    89.721,   122.227,   257.018,   327.590,    -9.604,   -28.461,     0.000,
 40581.128,    87.393,    23.521,     4.546,     0.134,  4597.602,     0.000,     0.000,    18.515,  1865.885,     1.000,     4.544,    34.645,     0.000,   258.575,   327.662,   -13.647,   -90.086,     0.000,
 40581.170,    87.364,    23.495,     4.585,    -0.002,  1780.487,     0.000,     0.000,    18.489,  1696.259,     1.000,     4.566,   114.328,     0.000,   256.458,   327.834,    41.462,  -227.166,     0.000,
 40581.212,    90.743,    23.472,     4.595,     0.036,  2338.790,   125.442,     0.000,    18.466,  1696.259,     1.000,     4.579,   151.013,   118.342,   252.191,   327.892,    -0.477,  -107.895,     0.000,
 40581.253,   125.209,    23.512,     4.598,     0.407,  6482.687,     0.000,     0.000,    18.506,  1865.885,     1.000,     4.598,   -36.428,     0.000,   255.680,   327.908,    15.417,   -51.217,     0.000,
 40581.295,    82.770,    23.531,     4.618,     0.256,  7118.165,   588.196,     0.000,    18.525,  1865.885,     1.000,     4.618,   505.019,   554.902,   269.727,   328.002,    28.594,   -36.985,     0.000,
 40581.337,    90.020,    23.529,     4.635,     0.397,  5941.907,   126.806,     0.000,    18.523,  1865.885,     1.000,     4.635,    39.316,   119.628,   243.709,   328.083,    21.508,   -25.569,     0.000,
 40581.378,    98.449,    23.526,     4.646,     0.222,  5147.068,     0.000,     0.000,    18.520,  1865.885,     1.000,     4.646,   -89.220,     0.000,   244.631,   328.136,    38.163,   -32.449,     0.000,
 40581.420,    96.823,    23.526,     4.655,     0.263,  5303.676,   887.802,     0.000,    18.520,  1865.885,     1.000,     4.655,   761.226,   837.549,   252.755,   328.178,    43.228,   -42.328,     0.000,
 40581.462,    97.001,    23.521,     4.663,     0.272,  4709.635,   114.863,     0.000,    18.515,  1865.885,     1.000,     4.663,    59.613,   108.361,   262.257,   328.218,    78.691,   -95.903,     0.000,
 40581.503,    87.145,    23.513,     4.666,     0.111,  3051.295,     0.000,     0.000,    18.507,  1865.885,     1.000,     4.666,   -56.992,     0.000,   255.636,   328.233,   105.836,  -121.441,     0.000,
 40581.545,   102.796,    23.517,     4.667,     0.154,  5238.384,   363.526,     0.000,    18.511,  1865.885,     1.000,     4.667,   301.213,   342.949,   276.268,   328.236,    33.034,   -43.267,     0.000,
 40581.587,    99.095,    23.530,     4.668,     0.212,  5952.126,   124.318,     0.000,    18.524,  1865.885,     1.000,     4.668,    67.831,   117.281,   257.757,   328.241,    28.640,   -49.674,     0.000,
 40581.628,    97.964,    23.530,     4.668,     0.196,  5086.328,     0.000,     0.000,    18.524,  1865.885,     1.000,     4.668,   -16.617,     0.000,   278.164,   328.241,    25.556,   -59.016,     0.000,
 40581.670,    95.941,    23.522,     4.667,     0.128,  4798.737,   331.757,     0.000,    18.516,  1865.885,     1.000,     4.667,   265.978,   312.979,   276.171,   328.235,    42.211,   -47.274,     0.000,
 40581.712,    96.881,    23.523,     4.662,     0.137,  4936.217,    49.152,     0.000,    18.517,  1865.885,     1.000,     4.662,    -4.257,    46.370,   286.471,   328.214,    32.829,   -23.945,     0.000,
 40581.754,   120.308,    23.522,     4.656,     0.229,  5100.698,     0.000,     0.000,    18.516,  1865.885,     1.000,     4.656,   -67.521,     0.000,   267.041,   328.187,    13.827,    -7.453,     0.000,
 40581.796,   116.709,    23.522,     4.650,     0.177,  4833.435,    63.864,     0.000,    18.516,  1865.885,     1.000,     4.650,   -15.290,    60.249,   264.104,   328.158,    19.423,    -7.939,     0.000,
 40581.837,   127.542,    23.517,     4.645,     0.176,  4731.157,     0.000,     0.000,    18.511,  1865.885,     1.000,     4.645,   -79.327,     0.000,   262.210,   328.134,    17.458,    -4.054,     0.000,
 40581.879,   100.878,    23.516,     4.641,     0.159,  4609.707,     0.000,     0.000,    18.510,  1865.885,     1.000,     4.641,   -87.588,     0.000,   260.368,   328.115,    23.651,    -3.810,     0.000,
 40581.920,   112.871,    23.511,     4.636,     0.171,  4546.242,     0.000,     0.000,    18.505,  1865.885,     1.000,     4.636,  -110.627,     0.000,   247.266,   328.091,    23.434,     6.369,     0.000,
 40581.962,   112.681,    23.510,     4.631,     0.211,  4705.139,    78.209,     0.000,    18.504,  1865.885,     1.000,     4.631,    -7.513,    73.782,   262.953,   328.067,    12.241,     3.940,     0.000,
 40582.004,   126.998,    23.506,     4.629,     0.274,  4775.576,     0.000,     0.000,    18.500,  1696.259,     1.000,     4.629,   -63.649,     0.000,   277.358,   328.057,     9.350,     3.600,     0.000,
 40582.046,   109.881,    23.502,     4.625,     0.230,  4677.090,   142.619,     0.000,    18.496,  1696.259,     1.000,     4.625,    50.500,   134.546,   259.491,   328.040,    11.425,     4.071,     0.000,
 40582.087,   104.010,    23.497,     4.616,     0.191,  4580.461,   129.589,     0.000,    18.491,  1696.259,     1.000,     4.616,    10.838,   122.253,   238.075,   327.995,    15.814,     5.681,     0.000,
 40582.129,   110.632,    23.493,     4.602,     0.240,  4505.804,     0.000,     0.000,    18.487,  1696.259,     1.000,     4.602,  -116.686,     0.000,   239.041,   327.934,    22.664,     5.130,     0.000,
 40582.170,   106.764,    23.491,     4.589,     0.233,  4596.886,     0.000,     0.000,    18.485,  1696.259,     1.000,     4.589,   -96.555,     0.000,   260.704,   327.871,    21.675,     7.712,     0.000,
 40582.212,   117.243,    23.487,     4.578,     0.261,  4805.341,    45.356,     0.000,    18.481,  1696.259,     1.000,     4.578,   -57.714,    42.789,   270.319,   327.819,    22.400,    20.602,     0.000,
 40582.253,   102.232,    23.485,     4.575,     0.270,  4904.228,     0.000,     0.000,    18.479,  1696.259,     1.000,     4.575,   -82.266,     0.000,   269.747,   327.800,    12.343,    11.869,     0.000,
 40582.295,   101.024,    23.481,     4.581,     0.237,  4839.443,     0.000,     0.000,    18.475,  1696.259,     1.000,     4.581,   -95.419,     0.000,   268.458,   327.828,    17.980,    18.068,     0.000,
 40582.337,   107.218,    23.479,     4.591,     0.247,  4794.447,    45.356,     0.000,    18.473,  1696.259,     1.000,     4.591,   -53.827,    42.789,   270.535,   327.876,    20.907,    18.368,     0.000,
 40582.379,   105.294,    23.476,     4.605,     0.277,  4818.405,     0.000,     0.000,    18.470,  1696.259,     1.000,     4.605,   -84.044,     0.000,   273.987,   327.943,    18.051,    12.038,     0.000,
