$GATE WITHDRAWAL AT SEG76                                    ELEV OF WITHDRAWAL CENTERLINE:7.       

JDAY,T(C)
  40583.8342,    4.22
  40583.8750,    4.23
  40583.9176,    4.25
  40583.9592,    4.25
  40584.0000,    4.26
  40584.0425,    4.25
  40584.0842,    4.24
  40584.1250,    4.22
  40584.1671,    4.21
  40584.2085,    4.18
  40584.2500,    4.15
  40584.2920,    4.11
  40584.3335,    4.07
  40584.3750,    4.04
  40584.4167,    4.02
  40584.4585,    4.01
  40584.5000,    4.01
  40584.5418,    4.01
  40584.5835,    4.03
  40584.6250,    4.06
  40584.6671,    4.08
  40584.7085,    4.11
  40584.7500,    4.13
  40584.7923,    4.15
  40584.8335,    4.15
  40584.8750,    4.14
  40584.9169,    4.12
  40584.9585,    4.10
  40585.0000,    4.08
  40585.0422,    4.06
  40585.0835,    4.05
  40585.1250,    4.04
  40585.1669,    4.05
  40585.2085,    4.07
  40585.2500,    4.10
  40585.2923,    4.13
  40585.3335,    4.16
  40585.3749,    4.18
  40585.4169,    4.20
  40585.4585,    4.22
  40585.5000,    4.23
  40585.5422,    4.24
  40585.5834,    4.25
  40585.6250,    4.26
  40585.6670,    4.27
  40585.7085,    4.28
  40585.7500,    4.29
  40585.7917,    4.30
  40585.8335,    4.31
  40585.8750,    4.32
  40585.9172,    4.33
  40585.9584,    4.34
  40586.0000,    4.36
  40586.0419,    4.37
  40586.0835,    4.38
  40586.1250,    4.40
  40586.1673,    4.42
  40586.2084,    4.43
  40586.2500,    4.45
  40586.2922,    4.46
  40586.3334,    4.47
  40586.3750,    4.47
  40586.4167,    4.47
  40586.4585,    4.46
  40586.5000,    4.45
  40586.5417,    4.44
  40586.5835,    4.42
  40586.6249,    4.41
  40586.6671,    4.40
  40586.7085,    4.40
  40586.7500,    4.41
  40586.7922,    4.43
  40586.8335,    4.45
  40586.8750,    4.47
  40586.9173,    4.50
  40586.9585,    4.53
  40587.0000,    4.56
  40587.0417,    4.59
  40587.0835,    4.63
  40587.1250,    4.66
  40587.1668,    4.70
  40587.2086,    4.74
  40587.2500,    4.77
  40587.2919,    4.80
  40587.3335,    4.82
  40587.3750,    4.84
  40587.4169,    4.84
  40587.4587,    4.83
  40587.5000,    4.82
  40587.5422,    4.81
  40587.5836,    4.80
  40587.6250,    4.79
  40587.6673,    4.78
  40587.7087,    4.78
  40587.7500,    4.77
  40587.7917,    4.78
  40587.8337,    4.78
  40587.8750,    4.80
  40587.9170,    4.82
  40587.9587,    4.84
  40588.0000,    4.86
  40588.0417,    4.89
  40588.0838,    4.92
  40588.1250,    4.95
  40588.1674,    4.97
  40588.2087,    5.00
  40588.2500,    5.02
  40588.2920,    5.04
  40588.3337,    5.04
  40588.3750,    5.04
  40588.4167,    5.03
  40588.4588,    5.03
  40588.5000,    5.01
  40588.5424,    4.99
  40588.5837,    4.97
  40588.6250,    4.95
  40588.6669,    4.94
  40588.7087,    4.93
  40588.7500,    4.92
  40588.7917,    4.91
  40588.8337,    4.90
  40588.8750,    4.90
  40588.9173,    4.90
  40588.9587,    4.89
  40589.0000,    4.90
  40589.0417,    4.90
  40589.0837,    4.91
  40589.1250,    4.92
  40589.1666,    4.92
  40589.2086,    4.94
  40589.2500,    4.95
  40589.2916,    4.96
  40589.3336,    4.98
  40589.3750,    5.00
  40589.4174,    5.01
  40589.4589,    5.03
  40589.5000,    5.04
  40589.5420,    5.05
  40589.5839,    5.05
  40589.6250,    5.04
  40589.6667,    5.03
  40589.7089,    5.02
  40589.7500,    5.01
  40589.7922,    4.98
  40589.8339,    4.96
  40589.8750,    4.92
  40589.9168,    4.89
  40589.9588,    4.86
  40590.0000,    4.83
  40590.0423,    4.81
  40590.0838,    4.79
  40590.1250,    4.77
  40590.1672,    4.76
  40590.2088,    4.74
  40590.2500,    4.73
  40590.2920,    4.73
  40590.3338,    4.74
  40590.3750,    4.75
  40590.4172,    4.77
  40590.4588,    4.80
  40590.5000,    4.83
  40590.5419,    4.86
  40590.5838,    4.89
  40590.6250,    4.92
  40590.6667,    4.94
  40590.7089,    4.95
  40590.7500,    4.94
  40590.7927,    4.92
  40590.8338,    4.90
  40590.8750,    4.87
  40590.9169,    4.84
  40590.9587,    4.80
  40591.0000,    4.78
  40591.0422,    4.76
