$Water balance Flows: computed flow to complete water balance,
NLJ,
JDAY,QWB
44451.12,0
44451.16,0
44451.2,0
44451.25,48.49
44451.29,0
44451.33,0
44451.37,0
44451.41,371.58
44451.45,38.82
44451.5,137.62
44451.54,112.72
44451.58,0
44451.62,0
44451.66,64.28
44451.7,84.18
44451.75,79.09
44451.79,69.17
44451.83,75.51
44451.87,69.71
44451.91,92.34
44451.95,80.17
44452,147.03
44452.04,0
44452.08,62.12
44452.12,79.77
44452.16,62.12
44452.2,73.18
44452.25,0
44452.29,132.79
44452.33,76.09
44452.37,168
44452.41,177.23
44452.45,0
44452.5,187.87
44452.54,77.84
44452.58,93.5
44452.62,79.24
44452.66,85.35
44452.7,78.42
44452.75,70.18
44452.79,0
44452.83,0
44452.87,0
44452.91,0
44452.95,0
44453,275.49
44453.04,31.71
44453.08,0
44453.12,426.43
44453.16,53.58
44453.2,419.49
44453.25,0
44453.29,0
44453.33,0
44453.37,415.35
44453.41,868.49
44453.45,0
44453.5,0
44453.54,0
44453.58,0
44453.62,0
44453.66,-199.04
44453.7,0
44453.75,0
44453.79,0
44453.83,0
44453.87,0
44453.91,0
44453.95,0
44454,0
44454.04,0
44454.08,0
44454.12,0
44454.16,0
44454.2,0
44454.25,0
44454.29,-86.59
44454.33,0
44454.37,0
44454.41,-71.45
44454.45,-168.88
44454.5,0
44454.54,-140.03
44454.58,-78.94
44454.62,0
44454.66,-457.14
44454.7,0
44454.75,-159.73
44454.79,-270.67
44454.83,0
44454.87,51.55
44454.91,0
44454.95,0
44455,-92.88
44455.04,-103.53
44455.08,-34.04
44455.12,-21.47
44455.16,-32.81
44455.2,0
44455.25,0
44455.29,-10.86
44455.33,-411.27
44455.37,-193.06
44455.41,-80.56
44455.45,-351.55
44455.5,0
44455.54,0
44455.58,0
44455.62,137.83
44455.66,93.82
44455.7,0
44455.75,34.49
44455.79,222.01
44455.83,54.03
44455.87,0
44455.91,3.06
44455.95,187
44456,52.16
44456.04,13.46
44456.08,89.49
44456.12,65.76
44456.16,71.76
44456.2,32.87
44456.25,42.51
44456.29,89.55
44456.33,66.58
44456.37,133.12
44456.41,63.15
44456.45,15.46
44456.5,79.94
44456.54,98.09
44456.58,0
44456.62,0
44456.66,107.42
44456.7,62.05
44456.75,29.22
44456.79,72.34
44456.83,0
44456.87,12.96
44456.91,61.47
44456.95,64.38
44457,38.48
44457.04,46.59
44457.08,160.21
44457.12,52.24
44457.16,56.75
44457.2,45.23
44457.25,44.95
44457.29,64.12
44457.33,56.68
44457.37,0
44457.41,64.44
44457.45,0
44457.5,-247.45
44457.54,0
44457.58,10.81
44457.62,144.06
44457.66,34.23
44457.7,4.08
44457.75,16.43
44457.79,183.7
44457.83,0
44457.87,79.54
44457.91,19.8
44457.95,1.75
44458,154.75
44458.04,0
44458.08,2.78
44458.12,81.71
44458.16,266.33
44458.2,121.78
44458.25,86.41
44458.29,295.45
44458.33,346.44
44458.37,136.82
44458.41,213.92
44458.45,292.54
44458.5,356.43
44458.54,269.05
44458.58,345.08
44458.62,266.47
44458.66,297.52
44458.7,341.71
44458.75,159.48
44458.79,279.08
44458.83,252.16
44458.87,194.82
44458.91,136.14
44458.95,249.18
44459,113.58
44459.04,227.44
44459.08,140.09
44459.12,45.47
44459.16,155.1
44459.2,234.37
44459.25,91.04
44459.29,171.08
44459.33,152.77
44459.37,39.24
44459.41,78.1
44459.45,200.39
44459.5,0
44459.54,60.98
44459.58,96.99
44459.62,82
44459.66,0
44459.7,-161.83
