$Water balance Flows: computed flow to complete water balance,
NLJ,
JDAY,QWB
44467.08,0
44467.12,0
44467.16,0
44467.2,0
44467.25,0
44467.29,0
44467.33,-29.44
44467.37,0
44467.41,0
44467.45,0
44467.5,0
44467.54,0
44467.58,0
44467.62,0
44467.66,0
44467.7,0
44467.75,0
44467.79,0
44467.83,0
44467.87,0
44467.91,0
44467.95,0
44468,0
44468.04,0
44468.08,0
44468.12,0
44468.16,0
44468.2,0
44468.25,0
44468.29,0
44468.33,0
44468.37,0
44468.41,0
44468.45,0
44468.5,0
44468.54,0
44468.58,0
44468.62,0
44468.66,0
44468.7,0
44468.75,0
44468.79,0
44468.83,0
44468.87,0
44468.91,0
44468.95,0
44469,0
44469.04,0
44469.08,0
44469.12,0
44469.16,0
44469.2,0
44469.25,0
44469.29,0
44469.33,0
44469.37,0
44469.41,0
44469.45,0
44469.5,0
44469.54,0
44469.58,0
44469.62,0
44469.66,0
44469.7,0
44469.75,0
44469.79,0
44469.83,0
44469.87,0
44469.91,0
44469.95,0
44470,0
44470.04,0
44470.08,0
44470.12,0
44470.16,0
44470.2,0
44470.25,-322.94
44470.29,0
44470.33,0
44470.37,0
44470.41,-108.45
44470.45,0
44470.5,0
44470.54,0
44470.58,-420.75
44470.62,0
44470.66,0
44470.7,0
44470.75,-198.9
44470.79,0
44470.83,0
44470.87,0
44470.91,0
44470.95,0
44471,0
44471.04,0
44471.08,0
44471.12,0
44471.16,0
44471.2,0
44471.25,0
44471.29,0
44471.33,-94.02
44471.37,-8.06
44471.41,-206.67
44471.45,0
44471.5,-43.01
44471.54,0
44471.58,0
44471.62,0
44471.66,-96.53
44471.7,0
44471.75,0
44471.79,0
44471.83,0
44471.87,0
44471.91,0
44471.95,0
44472,0
44472.04,0
44472.08,0
44472.12,0
44472.16,0
44472.2,0
44472.25,-79.76
44472.29,0
44472.33,0
44472.37,0
44472.41,-585.12
44472.45,0
44472.5,-122.97
44472.54,0
44472.58,0
44472.62,0
44472.66,0
44472.7,-53.58
44472.75,0
44472.79,0
44472.83,0
44472.87,0
44472.91,0
44472.95,0
44473,0
44473.04,0
44473.08,0
44473.12,0
44473.16,0
44473.2,0
44473.25,-29.05
44473.29,0
44473.33,0
44473.37,0
44473.41,0
44473.45,0
44473.5,0
44473.54,-76.96
44473.58,0
44473.62,0
44473.66,0
44473.7,0
44473.75,0
44473.79,0
44473.83,0
44473.87,0
44473.91,0
44473.95,0
44474,0
44474.04,0
44474.08,0
44474.12,0
44474.16,0
44474.2,0
44474.25,0
44474.29,0
44474.33,-39.08
44474.37,0
44474.41,0
44474.45,0
44474.5,-569.99
44474.54,0
44474.58,0
44474.62,0
44474.66,-226.85
44474.7,0
44474.75,0
44474.79,0
44474.83,0
44474.87,0
44474.91,0
44474.95,0
44475,0
44475.04,0
44475.08,0
44475.12,0
44475.16,0
44475.2,0
44475.25,0
44475.29,0
44475.33,0
44475.37,0
44475.41,-233.04
44475.45,-320.55
44475.5,-248.62
44475.54,-71.69
44475.58,-86.71
44475.62,-58.29
44475.66,-54.55
44475.7,-28.73
44475.75,0
44475.79,-30.61
44475.83,-49.76
44475.87,-77.53
44475.91,0
44475.95,-82.63
44476,-1
44476.04,0
44476.08,0
44476.12,0
44476.16,0
44476.2,0
44476.25,0
44476.29,0
44476.33,0
44476.37,0
44476.41,-58.57
44476.45,-164.42
44476.5,-32.85
44476.54,-166.75
44476.58,-65.94
44476.62,0
44476.66,0
44476.7,0
44476.75,0
44476.79,0
44476.83,0
44476.87,0
44476.91,-97.33
44476.95,0
44477,0
44477.04,0
44477.08,-156.2
44477.12,0
44477.16,0
44477.2,0
44477.25,0
44477.29,0
44477.33,0
44477.37,-48.99
44477.41,-104.63
44477.45,0
44477.5,0
44477.54,0
44477.58,0
44477.62,-69.5
44477.66,-95.18
44477.7,-37.34
44477.75,-13.94
44477.79,-22.71
44477.83,0
44477.87,0
44477.91,0
44477.95,0
44478,0
44478.04,0
44478.08,0
44478.12,0
44478.16,0
44478.2,0
44478.25,0
44478.29,0
44478.33,0
44478.37,0
44478.41,0
44478.45,-63.26
44478.5,0
44478.54,0
44478.58,-208.06
44478.62,-95.47
44478.66,-92.66
44478.7,0
44478.75,-534.7
44478.79,0
44478.83,0
44478.87,0
44478.91,0
44478.95,0
44479,0
44479.04,0
44479.08,0
44479.12,0
44479.16,0
44479.2,0
44479.25,0
44479.29,0
44479.33,0
44479.37,0
44479.41,-109.84
44479.45,0
44479.5,0
44479.54,0
44479.58,0
44479.62,0
44479.66,0
44479.7,0
44479.75,-299.59
44479.79,-730.27
44479.83,0
44479.87,0
44479.91,-184.89
44479.95,0
44480,0
44480.04,-175.71
44480.08,0
44480.12,0
44480.16,0
44480.2,0
44480.25,0
44480.29,0
44480.33,0
44480.37,0
44480.41,0
44480.45,0
44480.5,0
44480.54,0
44480.58,0
44480.62,0
44480.66,0
44480.7,0
44480.75,0
44480.79,0
44480.83,0
44480.87,0
44480.91,0
44480.95,0
44481,0
44481.04,0
44481.08,0
44481.12,0
44481.16,0
44481.2,0
44481.25,0
44481.29,0
44481.33,0
44481.37,-104.15
44481.41,0
44481.45,0
44481.5,0
44481.54,0
44481.58,0
44481.62,0
44481.66,0
44481.7,-46.07
44481.75,0
44481.79,0
44481.83,0
44481.87,0
44481.91,0
44481.95,0
44482,0
44482.04,0
44482.08,0
44482.12,0
44482.16,0
44482.2,0
44482.25,0
44482.29,0
44482.33,-336.08
44482.37,-161.65
44482.41,0
44482.45,0
44482.5,0
44482.54,0
44482.58,0
44482.62,0
44482.66,0
44482.7,0
44482.75,-99.09
44482.79,0
44482.83,-13.72
44482.87,0
44482.91,0
44482.95,0
44483,0
44483.04,0
44483.08,0
44483.12,0
44483.16,0
44483.2,0
44483.25,0
44483.29,0
44483.33,-414.57
44483.37,-175.94
44483.41,0
44483.45,0
44483.5,0
44483.54,0
44483.58,0
44483.62,0
44483.66,0
44483.7,0
44483.75,0
44483.79,0
44483.83,-77.58
44483.87,0
44483.91,0
44483.95,0
44484,-10.9
