$GATE WITHDRAWAL AT SEG76                                    ELEV OF WITHDRAWAL CENTERLINE:20.      

JDAY,T(C)
  40567.1250,  -99.00
  40567.1670,  -99.00
  40567.2084,  -99.00
  40567.2500,  -99.00
  40567.2919,  -99.00
  40567.3334,  -99.00
  40567.3750,  -99.00
  40567.4169,  -99.00
  40567.4584,  -99.00
  40567.5000,  -99.00
  40567.5419,  -99.00
  40567.5834,  -99.00
  40567.6250,  -99.00
  40567.6668,  -99.00
  40567.7084,  -99.00
  40567.7500,  -99.00
  40567.7918,  -99.00
  40567.8334,  -99.00
  40567.8750,  -99.00
  40567.9167,  -99.00
  40567.9583,  -99.00
  40568.0000,  -99.00
  40568.0423,  -99.00
  40568.0833,  -99.00
  40568.1250,  -99.00
  40568.1671,  -99.00
  40568.2083,  -99.00
  40568.2500,  -99.00
  40568.2920,  -99.00
  40568.3333,  -99.00
  40568.3750,  -99.00
  40568.4168,  -99.00
  40568.4583,  -99.00
  40568.5000,  -99.00
  40568.5417,  -99.00
  40568.5833,  -99.00
  40568.6250,  -99.00
  40568.6672,  -99.00
  40568.7083,  -99.00
  40568.7500,  -99.00
  40568.7921,  -99.00
  40568.8333,  -99.00
  40568.8750,  -99.00
  40568.9176,  -99.00
  40568.9590,  -99.00
  40569.0000,  -99.00
  40569.0422,  -99.00
  40569.0833,  -99.00
  40569.1250,  -99.00
  40569.1671,  -99.00
  40569.2083,  -99.00
  40569.2500,  -99.00
  40569.2919,  -99.00
  40569.3334,  -99.00
  40569.3750,  -99.00
  40569.4171,  -99.00
  40569.4583,  -99.00
  40569.5000,  -99.00
  40569.5419,  -99.00
  40569.5834,  -99.00
  40569.6250,  -99.00
  40569.6673,  -99.00
  40569.7084,  -99.00
  40569.7500,  -99.00
  40569.7921,  -99.00
  40569.8334,  -99.00
  40569.8750,  -99.00
  40569.9167,  -99.00
  40569.9584,  -99.00
  40570.0000,  -99.00
  40570.0422,  -99.00
  40570.0834,  -99.00
  40570.1250,  -99.00
  40570.1667,  -99.00
  40570.2084,  -99.00
  40570.2500,  -99.00
  40570.2920,  -99.00
  40570.3334,  -99.00
  40570.3750,  -99.00
  40570.4173,  -99.00
  40570.4584,  -99.00
  40570.5000,  -99.00
  40570.5419,  -99.00
  40570.5834,  -99.00
  40570.6250,  -99.00
  40570.6672,  -99.00
  40570.7083,  -99.00
  40570.7500,  -99.00
  40570.7918,  -99.00
  40570.8333,  -99.00
  40570.8750,  -99.00
  40570.9171,  -99.00
  40570.9583,  -99.00
  40571.0000,  -99.00
  40571.0417,  -99.00
  40571.0839,  -99.00
  40571.1250,  -99.00
  40571.1670,  -99.00
  40571.2089,  -99.00
  40571.2500,  -99.00
  40571.2918,  -99.00
  40571.3333,  -99.00
  40571.3750,  -99.00
  40571.4170,  -99.00
  40571.4583,  -99.00
  40571.5000,  -99.00
  40571.5417,  -99.00
  40571.5839,  -99.00
  40571.6250,  -99.00
  40571.6672,  -99.00
  40571.7089,  -99.00
  40571.7500,  -99.00
  40571.7920,  -99.00
  40571.8339,  -99.00
  40571.8750,  -99.00
  40571.9172,  -99.00
  40571.9583,  -99.00
  40572.0000,  -99.00
  40572.0421,  -99.00
  40572.0839,  -99.00
  40572.1250,  -99.00
  40572.1671,  -99.00
  40572.2089,  -99.00
  40572.2500,  -99.00
  40572.2919,  -99.00
  40572.3333,  -99.00
  40572.3750,  -99.00
  40572.4170,  -99.00
  40572.4583,  -99.00
  40572.5000,  -99.00
  40572.5420,  -99.00
  40572.5833,  -99.00
  40572.6250,  -99.00
  40572.6670,  -99.00
  40572.7083,  -99.00
  40572.7500,  -99.00
  40572.7920,  -99.00
  40572.8333,  -99.00
  40572.8750,  -99.00
  40572.9170,  -99.00
  40572.9584,  -99.00
  40573.0000,  -99.00
  40573.0420,  -99.00
  40573.0834,  -99.00
  40573.1250,  -99.00
  40573.1671,  -99.00
  40573.2085,  -99.00
