$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44202.62,0.05,-1.95,1.17,2.97,10,581.18
44202.67,-0.38,-1.73,1.61,3.11,10,581.07
44202.71,-0.96,-1.92,1.76,0.09,10,581.26
44202.75,-2.35,-2.69,2.02,0.39,9.34,581.9
44202.79,-2.58,-2.91,1.88,0.47,9.99,582.44
44202.83,-2.44,-3,1.86,0.37,9.63,583.04
44202.88,-3.7,-4.23,1.74,0.47,9.67,583.32
44202.92,-4.03,-4.54,1.52,0.42,9.87,584.06
44202.96,-4.67,-5.34,1.66,0.43,9.74,584.32
44203,-4.96,-5.79,1.6,0.46,9.7,584.72
44203.04,-4.7,-5.75,1.46,0.49,9.53,584.75
44203.08,-3.77,-5.3,1.33,0.44,9.26,584.58
44203.12,-4.3,-5.71,1.33,0.42,9.34,584.31
44203.17,-4.02,-5.55,1.34,0.38,8.48,584.25
44203.21,-3.93,-5.45,1.31,0.37,8.45,584.04
44203.25,-4.43,-5.4,1.46,0.14,8.3,583.95
44203.29,-4.24,-5.11,1.3,0.28,8.41,583.72
44203.33,-4.22,-5.37,1.25,0.32,7.74,584.3
44203.38,-3.78,-4.68,1.1,0.25,7.51,584.61
44203.42,-3.44,-5.15,1.52,0.34,8.42,584.97
44203.46,-2.95,-4.62,1.51,0.3,9.42,585.19
44203.5,-2.97,-4.69,1.5,0.19,9.62,584.61
44203.54,-2.47,-4.19,1.59,0.08,9.5,583.54
44203.58,-2.59,-4.06,1.67,0.08,9.38,582.8
44203.62,-3.03,-3.79,1.67,0.1,9.24,582.35
44203.67,-3.51,-3.88,1.7,0.12,9.34,582.4
44203.71,-3.83,-4.29,1.69,0.23,9.6,582.78
44203.75,-5.39,-5.39,1.6,0.29,9.82,583.69
44203.79,-5.42,-5.7,1.98,0.59,9.8,584.29
44203.83,-5.73,-6.23,1.98,0.62,9.61,585.06
44203.88,-5.92,-6.57,1.82,0.6,9.82,586.1
44203.92,-6.37,-7.18,1.74,0.6,9.33,586.51
44203.96,-7.78,-8.61,1.62,0.59,9.05,586.82
44204,-7.99,-8.95,1.52,0.57,8.96,586.88
44204.04,-7.72,-8.97,1.43,0.49,8.99,587.02
44204.08,-7.31,-8.81,1.35,0.46,9.12,587.11
44204.12,-6.76,-8.56,1.19,0.44,9.47,586.66
44204.17,-7.13,-8.75,1.13,0.4,8.76,586.46
44204.21,-7.68,-9.3,0.91,0.34,8.89,586.13
44204.25,-7.35,-8.86,1.21,3.05,8.02,585.75
44204.29,-6.91,-8.57,1.26,0.02,8.37,586.23
44204.33,-7.02,-8.72,1.02,0.01,7.4,586.4
44204.38,-7.21,-8.59,0.91,0.1,6.93,586.77
44204.42,-5.32,-7.12,1.1,0.27,6.84,587.03
44204.46,-5.39,-7.33,1.28,0.18,7.2,587.27
44204.5,-5.35,-7.13,1.41,0.11,7.65,586.99
44204.54,-4.65,-7.37,1.48,0.05,8.38,586.06
44204.58,-4.4,-6.65,1.45,0.02,9.12,585.16
44204.62,-4.54,-6.65,1.48,3.09,8.68,584.3
44204.67,-4.92,-6.39,1.54,0.01,8.7,584.16
44204.71,-5.21,-6.32,1.51,0.06,8.19,583.99
44204.75,-6.25,-6.32,1.05,2.5,7.7,583.86
44204.79,-5.83,-6.2,1.24,0.24,8.79,584.14
44204.83,-5.94,-6.49,1.18,0.41,8.89,584.56
44204.88,-6.01,-6.63,1.45,0.54,9.64,584.77
44204.92,-5.92,-6.45,1.37,0.58,9.14,585.31
44204.96,-6.73,-6.79,1.11,0.45,8.32,585.42
44205,-6.9,-7.13,0.99,0.37,8.71,585.26
44205.04,-6.97,-7.4,1.06,0.43,8.94,585.32
44205.08,-6.89,-7.55,0.91,0.39,8.61,585.18
44205.12,-6.62,-7.67,0.91,0.34,8.48,584.9
44205.17,-6.77,-7.79,0.97,0.39,8.53,584.64
44205.21,-6.62,-7.48,0.93,0.42,9.44,584.2
44205.25,-6.38,-7.29,0.44,0.26,7.94,583.54
44205.29,-6.85,-7.67,1.24,0.34,9.62,584.09
44205.33,-6.71,-7.74,1.1,0.48,9.55,584.25
44205.38,-6.47,-7.41,0.74,0.58,9.15,584.68
44205.42,-4.98,-6.6,0.51,0.4,7.81,584.76
44205.46,-4.4,-6.57,0.6,2.79,7.61,584.74
44205.5,-4.55,-6.5,0.68,2.78,7.88,584.54
44205.54,-3.24,-5.92,0.81,3.11,6.39,583.5
44205.58,-3.45,-5.81,1.02,3.1,5.2,582.76
44205.62,-3.36,-5.58,1.29,3.13,4.75,582.04
44205.67,-2.81,-4.95,1.48,0.02,6.71,581.82
44205.71,-3.23,-4.9,1.47,0.07,8.52,582.12
44205.75,-5.97,-6.51,1.5,0.28,8.33,582.09
44205.79,-6.18,-7.08,1.9,0.5,7.63,583.1
44205.83,-6.68,-7.58,1.79,0.55,9.31,583.66
44205.88,-6.73,-7.52,1.79,0.63,8.8,584.54
44205.92,-6.75,-7.71,1.61,0.53,9.33,584.98
44205.96,-7.62,-8.66,1.41,0.33,8.63,585.28
44206,-7.43,-8.77,1.31,0.21,7.96,585.1
44206.04,-7.41,-8.87,1.25,0.17,7.85,585.26
44206.08,-7.41,-9.01,1.09,0.2,7.37,584.98
44206.12,-7.22,-8.67,1.02,0.33,6.92,584.71
44206.17,-7.85,-9.41,0.98,0.41,7.62,584.44
44206.21,-7.77,-9.31,0.92,0.23,7.88,583.89
44206.25,-7.6,-9.25,0.68,2.8,7.95,583.15
44206.29,-7.7,-9.33,1.19,0.12,8.45,583.31
44206.33,-7.52,-9.09,1.27,0.25,9.05,583.56
44206.38,-6.99,-8.39,0.97,0.39,8.95,584.05
44206.42,-5.6,-8.16,1.17,0.41,9.5,584.44
44206.46,-6.31,-8.27,1.27,0.24,8.22,584.92
44206.5,-6.66,-8.31,1.42,0.24,8.49,584.62
44206.54,-5.54,-7.91,1.63,0.39,9.78,583.92
44206.58,-5.99,-8,1.75,0.39,9.12,583.5
44206.62,-6.36,-7.93,1.73,0.39,9.3,582.96
44206.67,-6.37,-7.69,1.75,0.38,9.15,583.17
44206.71,-6.31,-7.64,1.74,0.41,9.61,583.53
44206.75,-7.74,-8.24,1.52,0.49,9.62,584.17
44206.79,-7.53,-8.25,1.84,0.53,9.64,584.83
44206.83,-7.51,-8.44,1.76,0.68,9.78,585.59
44206.88,-7.27,-8.16,1.76,0.58,9.49,586.5
44206.92,-7.18,-8.08,1.69,0.52,9.49,587.2
44206.96,-8.17,-9.18,1.77,0.61,9.62,587.93
44207,-7.99,-9,1.92,0.71,9.54,588.69
44207.04,-7.9,-8.99,2.1,0.79,9.66,589.08
44207.08,-7.64,-8.52,2.02,0.8,9.84,589.26
44207.12,-7.21,-8.15,2.01,0.82,9.77,589.41
44207.17,-7.62,-8.59,1.96,0.85,9.76,589.43
44207.21,-7.54,-8.34,1.92,0.86,9.76,589.37
44207.25,-8.44,-9.2,1.55,0.83,9.71,589.77
44207.29,-7.94,-8.58,1.44,0.75,9.05,589.42
44207.33,-7.73,-8.35,1.12,0.87,9.18,590.1
44207.38,-8.24,-8.81,1.04,0.83,8.4,590.7
44207.42,-6.71,-8.44,1.02,0.89,8.67,590.82
44207.46,-6.71,-8.24,1.3,0.68,8.44,591.13
44207.5,-6.59,-8.39,1.34,0.52,8.67,590.98
44207.54,-5.04,-8.06,1.25,0.36,7.89,590.01
44207.58,-4.57,-7.9,1.22,0.19,8.14,589.26
44207.62,-4.81,-7.89,1.25,0.17,7.57,588.45
44207.67,-4.55,-7.76,1.31,0.18,6.89,588.44
44207.71,-4.63,-7.22,1.22,0.18,7.33,588.34
44207.75,-6.36,-8.51,0.58,2.97,8.02,588.12
44207.79,-5.48,-7.86,0.11,2.7,4.36,588.59
44207.83,-5.27,-7.85,0.57,1.65,3.86,588.53
44207.88,-5.34,-8.02,0.78,2.19,4.21,588.99
44207.92,-5.7,-8.14,0.67,2.57,3.64,589.12
44207.96,-6.32,-8.61,1.02,2.88,1.64,589.28
44208,-6.55,-8.91,1.27,2.95,1.62,589.29
44208.04,-6.91,-8.99,1.42,2.91,1.32,589.17
44208.08,-6.86,-9.41,1.54,2.95,1.18,588.8
44208.12,-7.24,-9.8,1.72,2.96,0.24,588.2
44208.17,-7.99,-10.8,1.88,2.99,0.26,587.76
44208.21,-8.44,-11.43,2.02,3.01,0.1,587.13
44208.25,-8.42,-11.86,2.42,3.09,0.38,586.8
44208.29,-8.5,-12.2,2.54,3.12,0.38,586.41
44208.33,-8.29,-12.37,2.6,3.1,0.12,586.54
44208.38,-9.19,-12.92,2.56,3.07,0.31,586.61
44208.42,-5.58,-10.08,1.95,0.01,0.12,586.71
44208.46,-2.68,-6.76,1.79,0.06,0.41,586.61
44208.5,-1.4,-6.17,1.47,0.2,0.12,586.15
44208.54,3.5,-6.09,1.16,0.42,0,584.95
44208.58,3.61,-5.55,0.81,0.73,0.54,583.89
44208.62,3.51,-4.98,0.67,1.19,0.68,582.94
44208.67,4.84,-3.84,0.58,1.26,0.28,582.29
44208.71,4.33,-3.1,0.15,1.96,0.22,582.07
44208.75,2.28,-6.02,0.59,3.05,1.21,582.35
44208.79,2,-5.71,1.06,2.65,1.2,582.16
44208.83,1.07,-5.74,1.15,2.79,1.08,582.22
44208.88,0.33,-5.73,1.3,2.76,1.26,582.7
44208.92,-0.62,-5.94,1.26,2.79,0.88,582.87
44208.96,-2.68,-6.09,1.25,2.81,0.8,583.03
44209,-3.27,-6.64,1.54,2.87,0,583.08
44209.04,-4.08,-7.2,1.68,2.87,0,583.17
44209.08,-4.42,-7.58,1.76,2.81,0,582.95
44209.12,-4.73,-7.92,1.78,2.82,0,582.77
44209.17,-4.83,-7.66,1.77,2.8,0,582.69
44209.21,-4.93,-7.71,1.84,2.8,0,582.34
44209.25,-6.52,-8.58,2.11,2.84,5.46,581.74
44209.29,-5.62,-8.14,1.81,2.85,5.8,582.01
44209.33,-5.5,-8.06,1.92,2.81,6,582.58
44209.38,-6.5,-8.67,1.9,2.78,6.01,582.89
44209.42,-2.59,-5.33,1.6,2.72,6.04,583.32
44209.46,0.46,-4.02,0.94,2.65,0.3,583.28
44209.5,1.88,-4.45,0.44,2.03,0,583.15
44209.54,5.33,-3.99,0.28,0.59,0,582.26
44209.58,4.98,-3.4,0.59,0.02,0,581.6
44209.62,4.87,-3.21,0.8,2.99,0,581.02
44209.67,6.08,-2.56,1.02,0.01,0.64,580.91
44209.71,6.35,-2.6,1.34,0.47,1.26,581.07
44209.75,1.18,-3.56,1,0.78,1.18,580.96
44209.79,0.8,-3.51,0.97,2,1.08,581.5
44209.83,0.54,-3.5,1.1,1.91,0.81,582.15
44209.88,0.02,-3.63,1.03,1.95,0.69,582.5
44209.92,-0.99,-4.09,0.85,2.11,1.64,583.04
44209.96,-3.58,-5.17,0.68,2.34,0.9,583.16
44210,-3.6,-5.3,0.59,2.39,0.91,583.5
44210.04,-3.71,-5.49,0.8,2.52,0.94,583.59
44210.08,-3.4,-5.55,0.97,2.62,0.57,583.65
44210.12,-3.22,-5.36,1.15,2.73,0.64,583.44
44210.17,-4.13,-5.91,1.37,2.79,0.51,583.46
