$Water balance Flows: computed flow to complete water balance,
JYH,
JDAY,QWB
44461.12,2.18
44461.16,18.26
44461.2,0
44461.25,14.77
44461.29,7.61
44461.33,8.8
44461.37,0
44461.41,-53.83
44461.45,0
44461.5,0
44461.54,-32.6
44461.58,-35.59
44461.62,-51.11
44461.66,0
44461.7,0
44461.75,0
44461.79,-34.48
44461.83,0
44461.87,-1.39
44461.91,-33.05
44461.95,0
44462,-21.86
44462.04,0
44462.08,50.13
44462.12,0
44462.16,0
44462.2,0
44462.25,0
44462.29,-27.73
44462.33,-25.97
44462.37,0
44462.41,0
44462.45,0
44462.5,-7.13
44462.54,0
44462.58,27.82
44462.62,0
44462.66,0
44462.7,0.78
44462.75,4.86
44462.79,0
44462.83,0.27
44462.87,16.84
44462.91,0
44462.95,8.32
44463,3.12
44463.04,10.79
44463.08,0
44463.12,2.07
44463.16,6.29
44463.2,16.48
44463.25,0.73
44463.29,2.44
44463.33,8.57
44463.37,7.92
44463.41,2.92
44463.45,0
44463.5,2.94
44463.54,15.91
44463.58,2.18
44463.62,4.09
44463.66,8.25
44463.7,0
44463.75,-28.62
44463.79,0
44463.83,3.92
44463.87,0
44463.91,0
44463.95,0
44464,-0.24
44464.04,0
44464.08,1.17
44464.12,0
44464.16,-5.79
44464.2,0
44464.25,0
44464.29,-5.7
44464.33,0
44464.37,0
44464.41,0
44464.45,0
44464.5,-3.23
44464.54,0
44464.58,0
44464.62,0
44464.66,-3.9
44464.7,0
44464.75,-0.42
44464.79,0
44464.83,0
44464.87,0
44464.91,5.46
44464.95,12.88
44465,7.91
44465.04,0
44465.08,18.41
44465.12,3.12
44465.16,12.6
44465.2,10.87
44465.25,0.51
44465.29,3.24
44465.33,11.79
44465.37,2.12
44465.41,7.82
44465.45,0
44465.5,0
44465.54,0
44465.58,-2.18
44465.62,-2.57
44465.66,0
44465.7,0
44465.75,-6.26
44465.79,-10.83
44465.83,0
44465.87,1.18
44465.91,1.29
44465.95,0
44466,-0.83
44466.04,-0.68
44466.08,0
44466.12,0
44466.16,-38.61
44466.2,0
44466.25,27.15
44466.29,0
44466.33,0
44466.37,0
44466.41,0
44466.45,0
44466.5,0
44466.54,0
44466.58,0
44466.62,0
44466.66,-2.89
44466.7,0
44466.75,0
44466.79,0
44466.83,0
44466.87,0.26
44466.91,0
44466.95,0
44467,11.07
44467.04,10.54
44467.08,17.2
44467.12,0
44467.16,1.34
44467.2,0
44467.25,11.98
44467.29,0
44467.33,-2.34
44467.37,0
44467.41,0
44467.45,0
44467.5,0.5
44467.54,2.73
44467.58,14.3
44467.62,0
44467.66,0
44467.7,0
44467.75,12.65
44467.79,0
44467.83,0.35
44467.87,0
44467.91,8.75
44467.95,0
44468,9.43
44468.04,13.46
44468.08,7.94
44468.12,0.89
44468.16,13.4
44468.2,0
44468.25,9.1
44468.29,14.43
44468.33,0
44468.37,0
44468.41,0
44468.45,5.28
44468.5,0
44468.54,0
44468.58,0
44468.62,7.06
44468.66,0
44468.7,0
44468.75,8.18
44468.79,9.33
44468.83,0
44468.87,7.23
44468.91,4.11
44468.95,11.25
44469,1.77
44469.04,12.25
44469.08,6.66
44469.12,8.68
44469.16,13.83
44469.2,0
44469.25,9.47
44469.29,11.64
44469.33,0.65
44469.37,1.34
44469.41,7.95
44469.45,3.48
44469.5,2.61
44469.54,1.2
44469.58,9.17
44469.62,3.39
44469.66,5.93
44469.7,1.55
44469.75,2.23
44469.79,5.25
44469.83,3
44469.87,8.85
44469.91,3.98
44469.95,0
44470,14.13
44470.04,23.3
44470.08,14.17
44470.12,22.43
44470.16,15.85
44470.2,0
44470.25,-25.62
44470.29,0
44470.33,0
44470.37,0
44470.41,-8.6
44470.45,0
44470.5,0
44470.54,0
44470.58,-33.38
44470.62,0
44470.66,0
44470.7,0
44470.75,-15.78
44470.79,0
44470.83,38.74
44470.87,0
44470.91,0
44470.95,16.83
44471,14.94
44471.04,22.3
44471.08,32.13
44471.12,0
44471.16,0
44471.2,0.06
44471.25,7.09
44471.29,0
44471.33,-7.46
44471.37,-0.64
44471.41,-16.4
44471.45,0
44471.5,-3.41
44471.54,0
44471.58,0
44471.62,0
44471.66,-7.66
44471.7,0
44471.75,2.39
44471.79,0
44471.83,0
44471.87,23.2
44471.91,21.89
44471.95,17.94
44472,5.8
44472.04,0
44472.08,0
44472.12,0
44472.16,35.22
44472.2,0
44472.25,-6.33
44472.29,0
44472.33,9.69
44472.37,0
44472.41,-46.42
44472.45,0
44472.5,-9.76
44472.54,0
44472.58,0
44472.62,0
44472.66,0
44472.7,-4.25
44472.75,0
44472.79,0
44472.83,0
44472.87,8.86
44472.91,19.5
44472.95,20.5
44473,3.89
44473.04,0
44473.08,0
44473.12,0
44473.16,51.15
44473.2,0
44473.25,-2.3
44473.29,0
44473.33,17
44473.37,0
44473.41,0
44473.45,0
44473.5,0
44473.54,-6.11
44473.58,0
44473.62,0
44473.66,0
44473.7,0
44473.75,1.93
44473.79,0.35
44473.83,0
44473.87,0.69
44473.91,16.59
44473.95,0
44474,7.35
44474.04,7.29
44474.08,25.57
44474.12,0
44474.16,8.71
44474.2,8.65
44474.25,4.41
44474.29,0
44474.33,-3.1
44474.37,0
44474.41,0
44474.45,0
44474.5,-45.22
44474.54,0
44474.58,37.45
44474.62,0
44474.66,-18
44474.7,0
44474.75,15.63
44474.79,0
44474.83,0
44474.87,2.85
44474.91,27.74
44474.95,0
44475,6.13
44475.04,6.15
44475.08,27.71
44475.12,1.33
44475.16,21.91
44475.2,20.35
44475.25,8.51
44475.29,0
44475.33,0
44475.37,0
44475.41,-18.49
44475.45,-25.43
44475.5,-19.73
44475.54,-5.69
44475.58,-6.88
44475.62,-4.62
44475.66,-4.33
44475.7,-2.28
44475.75,0
44475.79,-2.43
44475.83,-3.95
44475.87,-6.15
44475.91,0
44475.95,-6.56
44476,-0.08
44476.04,0
44476.08,1.57
44476.12,6.52
44476.16,21.44
44476.2,0
44476.25,14.59
44476.29,24.58
44476.33,0
44476.37,0
44476.41,-4.65
44476.45,-13.04
44476.5,-2.61
44476.54,-13.23
44476.58,-5.23
44476.62,0
44476.66,0
44476.7,0
44476.75,0
44476.79,0
44476.83,0
44476.87,0
44476.91,-7.72
44476.95,0
44477,0
44477.04,0
44477.08,-12.39
44477.12,0
44477.16,24.4
44477.2,0
44477.25,0
44477.29,3.51
44477.33,0
44477.37,-3.89
44477.41,-8.3
44477.45,0
44477.5,0
44477.54,0
44477.58,0
44477.62,-5.51
44477.66,-7.55
44477.7,-2.96
44477.75,-1.11
44477.79,-1.8
44477.83,0
44477.87,0
44477.91,13.95
44477.95,10.58
44478,9.19
44478.04,0
44478.08,28
44478.12,6.34
44478.16,37.45
44478.2,0
44478.25,6.06
44478.29,31.32
44478.33,0
44478.37,0
44478.41,0
44478.45,-5.02
44478.5,0
44478.54,0
44478.58,-16.51
44478.62,-7.57
44478.66,-7.35
44478.7,0
44478.75,-42.42
44478.79,0
44478.83,2.84
44478.87,0
44478.91,0.89
44478.95,12.11
44479,14.31
44479.04,0
44479.08,19.42
44479.12,0
44479.16,0
44479.2,0
44479.25,10.81
44479.29,0
44479.33,0
44479.37,0
44479.41,-8.71
44479.45,0
44479.5,22.32
44479.54,0
44479.58,0
44479.62,26.33
44479.66,34.11
44479.7,0
44479.75,-23.77
44479.79,-57.94
44479.83,0
44479.87,0
44479.91,-14.67
44479.95,0
44480,0
44480.04,-13.94
44480.08,0
44480.12,0
44480.16,0
44480.2,0
44480.25,0
44480.29,9.16
44480.33,0
44480.37,0
44480.41,0
44480.45,0
44480.5,0
44480.54,0
44480.58,0
44480.62,0
44480.66,0
44480.7,0
44480.75,0
44480.79,1.23
44480.83,0
44480.87,0
44480.91,5.6
44480.95,10.93
44481,0
44481.04,0
44481.08,15.34
44481.12,0
44481.16,0
44481.2,0
44481.25,6.89
44481.29,0
44481.33,0
44481.37,-8.26
44481.41,0
44481.45,4.79
44481.5,0
44481.54,0
44481.58,0
44481.62,3.86
44481.66,0
44481.7,-3.66
44481.75,0
44481.79,3.28
44481.83,0
44481.87,0
44481.91,6.33
44481.95,9.97
44482,2.81
44482.04,2.92
44482.08,9.17
44482.12,0
44482.16,0
44482.2,0
44482.25,0
44482.29,0
44482.33,-26.66
44482.37,-12.82
44482.41,0
44482.45,0
44482.5,0
44482.54,7.16
44482.58,8.18
44482.62,0
44482.66,0
44482.7,0
44482.75,-7.86
44482.79,0
44482.83,-1.09
44482.87,0
44482.91,0.76
44482.95,0
44483,2.86
44483.04,1.13
44483.08,0
44483.12,0
44483.16,1.63
44483.2,18.08
44483.25,11.23
44483.29,0
44483.33,-32.89
44483.37,-13.96
44483.41,0
44483.45,0
44483.5,0
44483.54,0
44483.58,1.74
44483.62,0
44483.66,0
44483.7,0
44483.75,4.65
44483.79,0
44483.83,-6.16
44483.87,0
44483.91,3.94
44483.95,0
44484,-0.86
