$Water balance Flows: computed flow to complete water balance,
XSJH,
JDAY,QWB
44454.25,0
44454.29,-19.45
44454.33,0
44454.37,0
44454.41,-16.05
44454.45,-37.94
44454.5,0
44454.54,-31.46
44454.58,-17.73
44454.62,0
44454.66,-102.69
44454.7,0
44454.75,-35.88
44454.79,-60.8
44454.83,0
44454.87,11.58
44454.91,0
44454.95,0
44455,-20.86
44455.04,-23.26
44455.08,-7.65
44455.12,-4.82
44455.16,-7.37
44455.2,0
44455.25,0
44455.29,-2.44
44455.33,-92.38
44455.37,-43.37
44455.41,-18.1
44455.45,-78.97
44455.5,0
44455.54,0
44455.58,0
44455.62,30.96
44455.66,21.08
44455.7,0
44455.75,7.75
44455.79,49.87
44455.83,12.14
44455.87,0
44455.91,0.69
44455.95,42.01
44456,11.72
44456.04,3.02
44456.08,20.1
44456.12,14.77
44456.16,16.12
44456.2,7.38
44456.25,9.55
44456.29,20.12
44456.33,14.96
44456.37,29.9
44456.41,14.19
44456.45,3.47
44456.5,17.96
44456.54,22.03
44456.58,0
44456.62,0
44456.66,24.13
44456.7,13.94
44456.75,6.56
44456.79,16.25
44456.83,0
44456.87,2.91
44456.91,13.81
44456.95,14.46
44457,8.64
44457.04,10.47
44457.08,35.99
44457.12,11.73
44457.16,12.75
44457.2,10.16
44457.25,10.1
44457.29,14.4
44457.33,12.73
44457.37,0
44457.41,14.47
44457.45,0
44457.5,-55.58
44457.54,0
44457.58,2.43
44457.62,32.36
44457.66,7.69
44457.7,0.92
44457.75,3.69
44457.79,41.26
44457.83,0
44457.87,17.87
44457.91,4.45
44457.95,0.39
44458,34.76
44458.04,0
44458.08,0.63
44458.12,18.35
44458.16,59.83
44458.2,27.35
44458.25,19.41
44458.29,66.37
44458.33,77.82
44458.37,30.73
44458.41,48.05
44458.45,65.71
44458.5,80.06
44458.54,60.44
44458.58,77.51
44458.62,59.86
44458.66,66.83
44458.7,76.76
44458.75,35.82
44458.79,62.69
44458.83,56.64
44458.87,43.76
44458.91,30.58
44458.95,55.97
44459,25.51
44459.04,51.09
44459.08,31.47
44459.12,10.21
44459.16,34.84
44459.2,52.65
44459.25,20.45
44459.29,38.43
44459.33,34.32
44459.37,8.81
44459.41,17.54
44459.45,45.01
44459.5,0
44459.54,13.7
44459.58,21.79
44459.62,18.42
44459.66,0
44459.7,-36.35
44459.75,0
44459.79,0
44459.83,0
44459.87,0
44459.91,0
44459.95,0
44460,20.1
44460.04,0
44460.08,19.48
44460.12,40.88
44460.16,93.91
44460.2,0
44460.25,0
44460.29,42.79
44460.33,0
44460.37,30.73
44460.41,18.47
44460.45,10.41
44460.5,0
44460.54,28.06
44460.58,12.17
44460.62,34.2
44460.66,22.31
44460.7,0
44460.75,16.64
44460.79,27.96
44460.83,17.05
44460.87,0.3
44460.91,21.76
44460.95,17.56
44461,12.18
44461.04,1.19
44461.08,23.3
44461.12,6.18
44461.16,51.69
44461.2,0
44461.25,41.81
44461.29,21.56
44461.33,24.91
44461.37,0
44461.41,-152.41
44461.45,0
44461.5,0
44461.54,-92.31
44461.58,-100.76
44461.62,-144.71
44461.66,0
44461.7,0
44461.75,0
44461.79,-97.61
44461.83,0
44461.87,-3.93
44461.91,-93.58
44461.95,0
44462,-61.89
44462.04,0
44462.08,141.92
44462.12,0
44462.16,0
44462.2,0
44462.25,0
44462.29,-78.52
44462.33,-73.52
44462.37,0
44462.41,0
44462.45,0
44462.5,-20.2
44462.54,0
44462.58,78.76
44462.62,0
44462.66,0
44462.7,2.21
44462.75,13.76
44462.79,0
44462.83,0.76
44462.87,47.67
44462.91,0
44462.95,23.56
44463,8.82
44463.04,30.54
44463.08,0
44463.12,5.85
44463.16,17.82
44463.2,46.66
44463.25,2.07
44463.29,6.92
44463.33,24.27
44463.37,22.44
44463.41,8.27
44463.45,0
44463.5,8.33
44463.54,45.06
44463.58,6.16
44463.62,11.59
44463.66,23.36
44463.7,0
44463.75,-81.04
44463.79,0
44463.83,11.1
44463.87,0
44463.91,0
44463.95,0
44464,-0.68
44464.04,0
44464.08,3.31
44464.12,0
44464.16,-16.4
44464.2,0
44464.25,0
44464.29,-16.13
44464.33,0
44464.37,0
44464.41,0
44464.45,0
44464.5,-9.14
44464.54,0
44464.58,0
44464.62,0
44464.66,-11.04
44464.7,0
44464.75,-1.18
44464.79,0
44464.83,0
44464.87,0
44464.91,15.46
44464.95,36.45
44465,22.38
44465.04,0
44465.08,52.14
44465.12,8.83
44465.16,35.68
44465.2,30.78
44465.25,1.44
44465.29,9.19
44465.33,33.39
44465.37,6
44465.41,22.15
44465.45,0
44465.5,0
44465.54,0
44465.58,-6.16
44465.62,-7.27
44465.66,0
44465.7,0
44465.75,-17.71
44465.79,-30.67
44465.83,0
44465.87,3.34
44465.91,3.66
44465.95,0
44466,-2.34
44466.04,-1.92
44466.08,0
44466.12,0
44466.16,-109.3
44466.2,0
44466.25,76.88
44466.29,0
44466.33,0
44466.37,0
44466.41,0
44466.45,0
44466.5,0
44466.54,0
44466.58,0
44466.62,0
44466.66,-8.18
44466.7,0
44466.75,0
44466.79,0
44466.83,0
44466.87,0.75
44466.91,0
44466.95,0
44467,31.34
44467.04,29.85
44467.08,48.71
44467.12,0
44467.16,3.78
44467.2,0
44467.25,33.93
44467.29,0
44467.33,-6.61
44467.37,0
44467.41,0
44467.45,0
44467.5,1.41
44467.54,7.73
44467.58,40.49
