$ met, >=6 hours missing data filled with DLS_2011_2015_met.csv,,,,,
2021,,,,,,
jday,tem,dew,windforce,windangle,cloud,pressure
44210.62,12.24,-0.03,1.44,1.31,0,592.94
44210.67,13.61,-0.53,1.38,1.47,0,592.52
44210.71,13.69,-1.19,1.25,1.61,0,592.68
44210.75,10.42,-2.68,1.32,1.72,0,592.67
44210.79,10.64,-2.26,1.1,1.6,0,592.7
44210.83,10.26,-2.17,1.31,1.52,0.02,593.22
44210.88,9.8,-2.06,1.3,1.53,0,593.37
44210.92,8.79,-1.69,1.29,1.58,0,593.86
44210.96,5.12,-1.66,1.35,1.51,0.08,593.74
44211,4.95,-1.66,1.45,1.41,0.08,594.01
44211.04,4.42,-1.57,1.4,1.42,0,593.78
44211.08,4.26,-1.6,1.34,1.44,0,593.68
44211.12,4.35,-1.47,1.17,1.58,0.12,593.67
44211.17,3.44,-1.51,0.88,1.81,0.19,593.51
44211.21,2.91,-1.54,0.61,2.14,0.39,593.4
44211.25,1.41,-2.15,0.95,1.8,0.49,593.16
44211.29,0.95,-2.32,0.87,1.78,0.49,593.26
44211.33,0.7,-2.36,0.57,2.15,0.57,593.78
44211.38,-0.38,-2.77,0.77,1.93,0.72,594.05
44211.42,5.48,0.2,0.58,2.44,0.66,594.22
44211.46,6.1,0.79,0.82,0.05,0.87,594.66
44211.5,6.61,1.31,1.02,0.3,0.55,594.37
44211.54,11.27,2.19,1.14,0.24,0.54,593.55
44211.58,11.55,2.56,1.35,0.27,0.42,592.58
44211.62,11.6,2.73,1.62,0.36,0.5,592.15
44211.67,12.29,2.79,1.96,0.41,0.51,591.99
44211.71,11.59,2.88,2.22,0.46,1.1,592.07
44211.75,5.25,1.75,1.84,0.55,1.27,592.31
44211.79,4.01,2.07,1.93,0.43,1.37,592.42
44211.83,3.84,1.86,1.69,0.52,1.29,592.78
44211.88,4.28,2.44,1.64,0.55,2.47,593.14
44211.92,3.63,2.12,1.68,0.47,8.89,593.7
44211.96,2.08,1.26,1.3,0.58,9.79,593.73
44212,1.87,1.05,1.8,0.66,10,594.08
44212.04,1.18,0.83,1.75,0.74,10,594.33
44212.08,1.46,0.85,1.57,0.76,10,594.51
44212.12,1.47,0.78,1.7,0.72,10,594.43
44212.17,0.93,0.27,1.75,0.71,9.7,594.7
44212.21,0.75,-0.03,1.73,0.68,9.85,594.39
44212.25,0.47,-0.51,1.71,0.62,9.84,594.72
44212.29,0.57,-0.63,1.78,0.67,9.84,594.7
44212.33,0.79,-0.58,1.63,0.61,9.92,595.18
44212.38,0.3,-1.02,1.67,0.62,9.98,595.53
44212.42,0.56,-0.93,1.7,0.64,9.62,596.05
44212.46,0.06,-1.89,1.73,0.55,9.72,596.26
44212.5,-0.12,-1.73,1.87,0.58,9.63,596.01
44212.54,1.08,-1.42,1.97,0.62,9.62,595.45
44212.58,0.96,-1.42,2.09,0.68,9.78,594.85
44212.62,0.97,-1.39,2.22,0.66,9.4,594.51
44212.67,0.42,-1.56,2.29,0.65,9.95,594.82
44212.71,0.3,-1.56,2.29,0.68,9.71,595.43
44212.75,-0.35,-1.64,1.99,0.74,9.71,596.86
44212.79,-0.01,-1.4,2.02,0.77,9.89,597.07
44212.83,0.14,-1.31,1.92,0.78,9.8,597.88
44212.88,0.49,-1.08,1.98,0.87,9.52,598.67
44212.92,0.53,-1.25,1.91,0.91,9.83,599.46
44212.96,-1.21,-2.59,2.01,0.94,9.96,600.15
44213,-1.07,-2.67,2.06,0.96,10,600.89
44213.04,-1.42,-2.97,2.18,1.02,9.92,601.68
44213.08,-1.44,-3.01,2.27,1.05,10,602.07
44213.12,-1.58,-3.14,2.21,1.11,9.94,602.58
44213.17,-2.77,-4.45,2.08,1.13,9.76,602.84
44213.21,-2.87,-4.76,2,1.19,9.87,603.02
44213.25,-3.55,-5.51,1.85,1.13,9.76,602.86
44213.29,-3.6,-5.45,1.71,1.17,9.87,602.95
44213.33,-3.67,-5.37,1.45,1.08,9.72,603.13
44213.38,-3.47,-5.68,1.7,1.14,9.51,603.73
44213.42,-2.92,-6.5,1.88,1.14,9.44,603.69
44213.46,-2.72,-6.6,1.68,1.15,9.46,603.74
44213.5,-2.78,-6.33,1.28,1.16,9.45,603.52
44213.54,-1.3,-6.31,1.17,1.25,9.93,602.39
44213.58,-0.9,-6.07,1.08,1.35,9.63,601.56
44213.62,-0.39,-6.03,1,1.4,9.67,600.72
44213.67,0.44,-5.84,0.93,1.15,9.59,600.36
44213.71,0.78,-5.89,0.87,0.98,9.15,600.26
