group,year,neff,input_samples,representable_samples,representable_percent,stage_bias_m,stage_mae_m,stage_rmse_m,stage_correlation,stage_within_0p5m_percent,stage_within_1p0m_percent,samples,bias_m3s,mae_m3s,rmse_m3s,median_ratio,within_20pct_percent
rising_flow,2024,0.075,1875,1821,97.11999999999999,0.8561015877203788,0.8781890838223487,1.1227368892001774,0.988941777330953,38.026666666666664,67.94666666666667,1875,-742.2153412342268,749.5193524676007,871.3798136830562,0.8228329145003012,57.226666666666674
rising_flow,2025,0.07,1294,1275,98.53168469860897,0.44102323390180737,0.611080811387238,0.7734052660212484,0.9932876158201893,50.540958268933544,82.76661514683154,1294,-470.3691061975049,585.5902951023497,683.7262528906895,0.8723014995563441,73.41576506955178
rising_flow,2025,0.0725,1294,1266,97.83616692426584,0.6195847342261743,0.6970975194249092,0.878390352391553,0.993872107218611,47.75888717156105,73.57032457496136,1294,-619.0795807924297,663.0555235380016,766.68273562238,0.8410701135310441,64.45131375579598
rising_flow,2025,0.075,1294,1257,97.14064914992272,0.7957569944598936,0.8222847371155676,1.0086942212419077,0.9942003649527191,38.33075734157651,64.2967542503864,1294,-757.315339681161,765.4619382000378,864.637832792207,0.8120910266548342,52.936630602782074
stable,2020,0.07,138,138,100.0,0.09098623323438174,0.29043769610193837,0.46151222238196143,0.9715016054755357,94.20289855072464,94.20289855072464,138,-253.3914219221082,588.4531703633734,824.6307497907516,0.6994138852341212,2.1739130434782608
stable,2020,0.0725,138,138,100.0,0.11992019542399132,0.316915599614867,0.4706438983511948,0.9706033494411485,94.20289855072464,94.20289855072464,138,-296.7513796655675,613.5268464913896,812.5220273098925,0.6739044578218867,1.4492753623188406
stable,2020,0.075,138,138,100.0,0.14926772039786368,0.3436856106894543,0.48149765810363954,0.9696117077635201,94.20289855072464,94.20289855072464,138,-336.99719423023004,636.7704319592898,804.1220667570473,0.6502350460925077,0.7246376811594203
stable,2021,0.07,3594,3008,83.69504730105731,0.3753028354341389,1.2888734607546357,1.7250706389498065,0.9710038652423741,35.42014468558709,55.342237061769616,3576,-605.7024801194164,865.5037707606697,1120.0569081972471,0.5927458637095873,28.02013422818792
stable,2021,0.0725,3594,3008,83.69504730105731,0.4607022519588224,1.3308120608553948,1.7663464950640477,0.9702573070373945,36.5887590428492,53.58931552587646,3576,-692.5750038229158,886.102163473616,1098.8213925448842,0.5711990263843025,26.733780760626395
stable,2021,0.075,3594,3008,83.69504730105731,0.5497479065258727,1.3808499226213196,1.8148627520199543,0.9694053244646607,31.886477462437394,50.333889816360596,3576,-773.3478695601325,920.7533357111553,1093.6827197375674,0.5511329396796726,24.77628635346756
stable,2022,0.07,3108,2711,87.22651222651223,0.6800553064231434,0.9736244594788703,1.4920570175576395,0.9746086602141506,55.6949806949807,69.1119691119691,3108,-653.4805556626656,739.8905425652903,933.2515277946846,0.6811807516311973,36.615186615186616
stable,2022,0.0725,3108,2647,85.16731016731016,0.7831766317230334,1.0061582834615364,1.5464353467808385,0.9748957429924616,56.981981981981974,67.72844272844273,3108,-747.7809097926463,777.4363181270869,967.237394360598,0.6567347110928778,34.909909909909906
stable,2022,0.075,3108,2614,84.1055341055341,0.8871632357317578,1.0746603861529558,1.6141352116981866,0.97472129031886,51.962676962676966,66.31274131274131,3108,-835.4503879143192,841.1111646083255,1010.0105729771933,0.6339682787122387,32.915057915057915
stable,2023,0.07,2228,1877,84.245960502693,0.37926357740523653,0.9856802694999263,1.2439689505977904,0.9773618460691184,44.74865350089767,56.777378815080795,2228,-587.506627845921,624.6509293223457,683.2877560177797,0.7459800809595227,39.40754039497307
stable,2023,0.0725,2228,1837,82.45062836624776,0.5370543873900876,1.1185198574483373,1.3603986327412367,0.9748380546071646,29.308797127468583,55.74506283662477,2228,-686.5526678475568,704.5982603283027,749.3669269477454,0.7185163218143693,33.258527827648116
stable,2023,0.075,2228,1805,81.01436265709157,0.6578715945764342,1.2230118712623377,1.4424793281297894,0.973624604884268,18.716337522441652,52.333931777378815,2228,-778.5342399373883,784.6386306601214,821.398962721761,0.6930769137742071,30.296229802513462
stable,2024,0.07,1630,1630,100.0,0.8688263737637034,0.891292703782928,1.235890967367615,0.9973437828213205,48.40490797546012,63.25153374233129,1630,-693.7722116657943,715.1597913116517,804.1674553554491,0.7319543288467825,33.80368098159509
stable,2024,0.0725,1630,1630,100.0,0.9594980879543203,0.9686120829105563,1.3161129337890316,0.9975800947926136,47.85276073619632,59.87730061349693,1630,-768.4332603552853,776.1855539981716,855.1419978446147,0.7056261713542546,25.52147239263804
stable,2024,0.075,1630,1630,100.0,1.0502057136493734,1.0524348112459851,1.3967698850917623,0.9978050447468393,46.38036809815951,53.37423312883436,1630,-837.7355659220777,839.5801752079825,907.5752683831747,0.6811284711550266,21.84049079754601
stable,2025,0.07,2658,2658,100.0,0.6350625341235662,0.6453746573764867,0.8808673852046668,0.9967261058393727,61.324303987960874,78.1790820165538,2658,-744.9326956916104,752.5949539637425,813.6199682258269,0.7016887285616096,34.49962377727614
stable,2025,0.0725,2658,2658,100.0,0.7211141183377512,0.7251214942101415,0.9571472679210483,0.9968602046212636,54.138449962377734,74.11587659894657,2658,-822.7300228561247,825.534591188687,875.8998113085458,0.6760210861329936,30.323551542513165
