group,year,derivative_window_hours,samples,median_storage_rate_m3s,p10_storage_rate_m3s,p90_storage_rate_m3s,closure_bias_m3s,closure_mae_m3s,closure_rmse_m3s,closure_median_ratio,closure_within_20pct_percent
falling_flow,2025,12,1305,-125.2216178821186,-383.4671098875279,-5.560572721378906,-546.2359425700623,637.4356826298771,769.7104577453047,0.8855481653354254,72.56704980842912
rising_flow,2020,12,0,,,,,,,,
rising_flow,2021,12,584,145.08406963928482,7.96294127955661,361.5465177228767,-158.24982711817978,571.8562747468152,772.4143093297148,0.9618906041049543,78.93835616438356
rising_flow,2022,12,945,200.38522389813153,5.2543102641109805,554.1466132478131,-531.8326411331537,912.112087574739,1299.145860902854,0.8379403818977188,48.67724867724868
rising_flow,2023,12,1525,99.31651849210469,-21.172223884467446,381.2923642091952,-706.6057182556272,784.0194905870982,889.1922931371743,0.7803918614408148,46.68852459016393
rising_flow,2024,12,1870,47.367046067977014,-107.04525010399777,217.7283664955981,-559.5656102756399,621.1680453549085,753.2744705068237,0.8614015084067859,63.850267379679146
rising_flow,2025,12,1293,121.31664411452823,-1.7835774128721191,423.3341097612632,-452.92455979777344,555.7873463547074,659.4430767919799,0.8818515714158665,72.31245166279969
stable,2020,12,135,-9.297301817119674,-26.83302988019496,5.1322566631607485,-299.02826747507237,626.8041782803963,830.3149033571254,0.6693081911191487,1.4814814814814816
stable,2021,12,3566,-0.3918492750733815,-31.436307247980388,28.841505464013597,-695.2678335031204,888.6428290559068,1100.5183555026013,0.5698058931385259,26.528323051037578
stable,2022,12,3103,0.13781460681930185,-37.25973311197234,27.893056068042778,-749.6908518085119,781.0771023287678,972.7018049988835,0.657848468895271,35.12729616500161
stable,2023,12,2213,-0.6468857331153144,-47.30236716924261,71.19589979246824,-684.8031166233903,708.5558448247559,753.9262104596926,0.7177383649111284,33.75508359692725
stable,2024,12,1629,2.798347948555731,-39.98328684662162,50.81881136961806,-765.3541109543454,776.5314945326162,857.0205648552676,0.7077570581217247,26.703499079189687
stable,2025,12,2650,-4.778217512121321,-37.55431720801471,35.26449475575231,-822.5937065294503,826.9906678232963,880.172817631919,0.6812624296997947,29.886792452830193
