JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 40561.627,    82.585,    23.661,     4.151,     0.374,  5706.380,     0.000,     0.000,    19.655,  2898.534,     1.000,     4.151,   -39.539,     0.000,   268.027,   325.806,     1.010,   -19.249,     0.000,
 40561.669,    82.818,    23.658,     4.124,     0.337,  5706.845,     0.000,     0.000,    19.652,  2898.534,     1.000,     4.124,   -42.424,     0.000,   266.514,   325.683,    -1.319,   -15.426,     0.000,
 40561.710,    81.445,    23.656,     4.096,     0.388,  5948.001,     0.000,     0.000,    19.650,  2898.534,     1.000,     4.096,   -32.359,     0.000,   281.625,   325.550,    -2.109,    -9.458,     0.000,
 40561.752,    82.942,    23.657,     4.065,     0.349,  5935.934,     0.000,     0.000,    19.651,  2898.534,     1.000,     4.065,   -41.643,     0.000,   280.408,   325.403,     6.465,    -9.818,     0.000,
 40561.794,    77.664,    23.655,     4.034,     0.387,  6073.788,     0.000,     0.000,    19.649,  2898.534,     1.000,     4.034,   -39.387,     0.000,   283.181,   325.260,     1.006,    -3.698,     0.000,
 40561.835,    79.695,    23.660,     4.009,     0.384,  6141.728,     0.000,     0.000,    19.654,  2898.534,     1.000,     4.009,   -43.446,     0.000,   281.070,   325.140,     1.714,    -2.338,     0.000,
 40561.877,    83.301,    23.662,     3.990,     0.400,  6098.288,     0.000,     0.000,    19.656,  2898.534,     1.000,     3.990,   -42.529,     0.000,   283.715,   325.048,     6.301,    -5.105,     0.000,
 40561.919,    77.612,    23.663,     3.980,     0.394,  6171.954,     0.000,     0.000,    19.657,  2898.534,     1.000,     3.975,   -57.541,     0.000,   277.201,   324.924,     6.819,     2.999,     0.000,
 40561.961,    82.170,    23.662,     3.971,     0.402,  6253.889,     0.000,     0.000,    19.656,  2898.534,     1.000,     3.960,   -63.274,     0.000,   275.093,   324.830,     8.349,     5.188,     0.000,
 40562.002,    77.989,    23.663,     3.953,     0.376,  6293.901,     0.000,     0.000,    19.657,  2898.534,     1.000,     3.944,   -77.936,     0.000,   271.283,   324.745,    12.278,    12.197,     0.000,
 40562.044,    75.106,    23.663,     3.936,     0.415,  6333.668,     0.000,     0.000,    19.657,  2898.534,     1.000,     3.926,   -69.707,     0.000,   272.419,   324.657,     8.970,     8.499,     0.000,
 40562.086,    74.924,    23.663,     3.922,     0.421,  6427.693,     0.000,     0.000,    19.657,  2898.534,     1.000,     3.911,   -66.043,     0.000,   271.264,   324.589,     6.582,     6.136,     0.000,
 40562.127,    80.206,    23.667,     3.908,     0.409,  6405.922,     0.000,     0.000,    19.661,  2898.534,     1.000,     3.899,   -80.543,     0.000,   255.289,   324.539,     6.049,     5.244,     0.000,
 40562.169,    76.797,    23.665,     3.898,     0.394,  6581.097,     0.000,     0.000,    19.659,  2898.534,     1.000,     3.888,  -101.188,     0.000,   234.944,   324.465,     6.195,     5.472,     0.000,
 40562.210,    78.640,    23.664,     3.893,     0.426,  6519.603,     0.000,     0.000,    19.658,  2898.534,     1.000,     3.884,   -81.827,     0.000,   256.236,   324.463,     7.773,     5.828,     0.000,
 40562.252,    78.236,    23.665,     3.916,     0.414,  6584.885,     0.000,     0.000,    19.659,  2898.534,     1.000,     3.904,   -67.497,     0.000,   271.805,   324.514,     8.049,     6.739,     0.000,
 40562.294,    72.368,    23.665,     3.946,     0.441,  6706.178,     0.000,     0.000,    19.659,  2898.534,     1.000,     3.938,   -69.556,     0.000,   271.260,   324.706,     8.643,     7.467,     0.000,
 40562.335,    77.651,    23.661,     3.984,     0.431,  6685.326,     0.000,     0.000,    19.655,  2898.534,     1.000,     3.978,   -71.814,     0.000,   270.740,   324.903,     9.473,     8.178,     0.000,
 40562.377,    73.867,    23.659,     4.016,     0.444,  6791.013,     0.000,     0.000,    19.653,  2898.534,     1.000,     4.015,   -71.691,     0.000,   271.340,   325.167,    10.054,     7.811,     0.000,
 40562.419,    72.275,    23.657,     4.043,     0.443,  6804.773,     0.000,     0.000,    19.651,  2898.534,     1.000,     4.043,   -61.459,     0.000,   275.404,   325.297,     7.663,     3.903,     0.000,
 40562.460,    70.872,    23.656,     4.058,     0.431,  6908.035,     0.000,     0.000,    19.650,  2898.534,     1.000,     4.058,   -50.188,     0.000,   279.893,   325.366,     5.007,    -0.292,     0.000,
