$,
XXH,
JDAY,DGP
44217.67,1.2
44217.71,1.2
44217.75,1.2
44217.79,1.2
44217.83,1.2
44217.88,1.2
44217.92,1.2
44217.96,1.2
44218,1.2
44218.04,1.2
44218.08,1.2
44218.12,1.2
44218.17,1.2
44218.21,1.2
44218.25,1.2
44218.29,1.2
44218.33,1.2
44218.38,1.2
44218.42,1.2
44218.46,1.2
44218.5,1.2
44218.54,1.2
44218.58,1.2
44218.62,1.2
44218.67,1.2
44218.71,1.2
44218.75,1.2
44218.79,1.2
44218.83,1.2
44218.88,1.2
44218.92,1.2
44218.96,1.2
44219,1.2
44219.04,1.2
44219.08,1.2
44219.12,1.2
44219.17,1.2
44219.21,1.2
44219.25,1.2
44219.29,1.2
44219.33,1.2
44219.38,1.2
44219.42,1.2
44219.46,1.2
44219.5,1.2
44219.54,1.2
44219.58,1.2
44219.62,1.2
44219.67,1.2
44219.71,1.2
44219.75,1.2
44219.79,1.2
44219.83,1.2
44219.88,1.2
44219.92,1.2
44219.96,1.2
44220,1.2
44220.04,1.2
44220.08,1.2
44220.12,1.2
44220.17,1.2
44220.21,1.2
44220.25,1.2
44220.29,1.2
44220.33,1.2
44220.38,1.2
44220.42,1.2
44220.46,1.2
44220.5,1.2
44220.54,1.2
44220.58,1.2
44220.62,1.2
44220.67,1.2
44220.71,1.2
44220.75,1.2
44220.79,1.2
44220.83,1.2
44220.88,1.2
44220.92,1.2
44220.96,1.2
44221,1.2
44221.04,1.2
44221.08,1.2
44221.12,1.2
44221.17,1.2
44221.21,1.2
44221.25,1.2
44221.29,1.2
44221.33,1.2
44221.38,1.2
44221.42,1.2
44221.46,1.2
44221.5,1.2
44221.54,1.2
44221.58,1.2
44221.62,1.2
44221.67,1.2
44221.71,1.2
44221.75,1.2
44221.79,1.2
44221.83,1.2
44221.88,1.2
44221.92,1.2
44221.96,1.2
44222,1.2
44222.04,1.2
44222.08,1.2
44222.12,1.2
44222.17,1.2
44222.21,1.2
44222.25,1.2
44222.29,1.2
44222.33,1.2
44222.38,1.2
44222.42,1.2
44222.46,1.2
44222.5,1.2
44222.54,1.2
44222.58,1.2
44222.62,1.2
44222.67,1.2
44222.71,1.2
44222.75,1.2
44222.79,1.2
44222.83,1.2
44222.88,1.2
44222.92,1.2
44222.96,1.2
44223,1.2
44223.04,1.2
44223.08,1.2
44223.12,1.2
44223.17,1.2
44223.21,1.2
44223.25,1.2
44223.29,1.2
44223.33,1.2
44223.38,1.2
44223.42,1.2
44223.46,1.2
44223.5,1.2
44223.54,1.2
44223.58,1.2
44223.62,1.2
44223.67,1.2
44223.71,1.2
44223.75,1.2
44223.79,1.2
44223.83,1.2
44223.88,1.2
44223.92,1.2
44223.96,1.2
44224,1.2
44224.04,1.2
44224.08,1.2
44224.12,1.2
44224.17,1.2
44224.21,1.2
44224.25,1.2
44224.29,1.2
44224.33,1.2
44224.38,1.2
44224.42,1.2
44224.46,1.2
44224.5,1.2
